Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,0.106,0.063,0.038,0.019,0.094,0.08,0.23169553867178436,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
2019-07-11,0.115,0.05,0.071,0.088,0.102,0.085,0.23169553867178436,76.2,80.6,4.8,3.4,7.8,999.9,93.2,75.9,1.3
2019-07-23,0.052,0.053,0.028,0.027,0.062,0.039,0.23169553867178436,76.5,81.5,5.3,4.0,7.8,13.6,87.8,74.8,0.31
2019-08-07,0.251,0.429,0.038,0.083,0.141,0.177,0.23169553867178436,75.9,86.0,5.3,3.3,25.3,44.7,96.8,74.3,0.06
2019-08-19,0.221,0.194,0.068,0.045,0.191,0.324,0.23169553867178436,77.0,85.5,4.7,3.2,17.5,999.9,93.2,77.5,0.04
2019-08-27,0.465,0.394,0.159,0.117,0.269,0.382,0.23169553867178436,77.1,85.0,5.6,3.2,7.8,999.9,91.4,77.0,0.12
2019-09-03,0.35,0.419,0.175,0.143,0.146,0.213,0.23169553867178436,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-10-10,0.321,0.309,0.133,0.132,0.125,0.11,0.23169553867178436,71.3,83.7,3.6,2.9,5.8,999.9,89.6,73.0,0.0
2019-11-18,0.061,0.059,0.05,0.043,0.068,0.103,0.23169553867178436,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,0.036,0.039,0.038,0.035,0.062,0.033,0.23169553867178436,38.9,61.1,5.9,2.5,5.8,999.9,73.4,45.0,0.0
2019-12-18,0.188,0.083,0.081,0.036,0.097,0.1,0.23169553867178436,58.4,72.7,3.8,6.3,13.6,999.9,85.1,59.0,0.21
2019-12-25,0.084,0.084,0.034,0.031,0.053,0.021,0.23169553867178436,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-05-27,0.937,0.775,0.118,0.138,0.549,0.585,0.67009,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,0.612,0.417,0.149,0.072,0.207,0.217,0.32368,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,0.844,0.843,0.146,0.124,0.629,0.741,0.77353,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,0.689,0.666,0.132,0.175,0.414,0.406,0.6215,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,0.543,0.468,0.15,0.092,0.108,0.156,0.24265,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,0.457,0.417,0.149,0.138,0.214,0.246,0.36435,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-10,0.3712,0.2976,0.153,0.179,0.3644,0.208,0.251432,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0.0
2020-09-24,0.374,0.3784,0.125,0.163,0.1316,0.2328,0.209088,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,0.53244,0.3336,0.15645,0.07488,0.14076,0.18445,0.21624,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,0.64144,0.69126,0.15038,0.12524,0.3774,0.46683,0.604555,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,0.48919,0.47286,0.13332,0.18375,0.27324,0.3045,0.325435,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,0.48327,0.4212,0.156,0.09108,0.08856,0.11076,0.1859121,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,0.42958,0.32943,0.13708,0.14628,0.16264,0.17712,0.2673635,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,0.26064,0.21528,0.14688,0.1611,0.06588,0.04992,0.0850752,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-01-14,0.26049,0.27105,0.11625,0.1793,0.08988,0.12546,0.1254752,32.2,57.3,5.5,2.7,5.8,999.9,71.6,36.1,0.0
2021-04-28,0.64144,0.6497844,0.1473724,0.112716,0.3774,0.4388202,0.5924639,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,0.4451629,0.449217,0.1239876,0.1208875,0.27324,0.28014,0.3059089,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,0.434943,0.408564,0.14196,0.086526,0.0823608,0.1096524,0.178475616,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-02,0.4123968,0.3261357,0.1329676,0.11628,0.16264,0.1647216,0.2673635,76.0,78.0,5.3,5.1,9.7,15.7,86.2,74.8,0.78
2021-06-09,0.4591065,0.404352,0.156,0.086526,0.0805896,0.1007916,0.176616495,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,0.2526753,0.254787,0.104625,0.076749,0.0880824,0.1154232,0.121710944,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,0.2423952,0.2088216,0.1365984,0.068212,0.09588,0.09992,0.08082144,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-07-14,0.322944,0.258912,0.12087,0.15573,0.276944,0.17472,0.2011456,76.6,91.1,6.7,4.1,7.8,17.5,98.6,78.1,0.0
