Date,NPK,PK,NK,CK,MT,SF,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-27,0.018,0.001,0.005,0.001,0.006,0.011,0.009,0.4239308371222224,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,0.015,0.009,0.025,0.0,0.01,0.103,0.017,0.4239308371222224,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-09-18,0.015,0.049,0.018,0.012,0.011,0.034,0.075,0.4239308371222224,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
2019-10-10,0.0562,0.141,0.119,0.132,0.258,0.863,0.055,0.4239308371222224,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.311,0.495,0.133,0.081,0.215,0.502,0.087,0.4239308371222224,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2020-04-07,0.858,0.813,0.138,0.106,0.636,0.7485,0.74412,0.76347,55.8,65.8,6.2,2.5,6.8,12.4,73.0,57.4,0.0
2020-04-13,0.6726,0.59565,0.173,0.115,0.73957,0.58425,0.6508216,0.65436,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0.0
2020-04-23,0.5115,0.44055,0.206,0.116,0.4257,0.4026,0.374616,0.44286,56.2,64.6,6.3,7.4,11.7,16.9,68.0,61.2,0.01
2020-05-27,0.41715,0.39825,0.182,0.133,0.33953,0.25043,0.3565065,0.2053526,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,0.29295,0.2625,0.132,0.142,0.21263,0.18323,0.1743566,0.1520809,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,0.1926,0.2592,0.143,0.131,0.18225,0.1674,0.149445,0.189162,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,0.2061,0.2286,0.143,0.178,0.2106,0.2124,0.237978,0.250632,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,0.161,0.2007,0.189,0.123,0.1917,0.22185,0.184032,0.2462535,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,0.2016,0.1848,0.136,0.184,0.1764,0.1848,0.16758,0.216216,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-09-24,0.90948,0.82113,0.138,0.09752,0.73776,0.73353,0.7156272,0.8215536,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
