File,Dependent Variable,R-squared,Adjusted R-squared
Water_sample_leaching_corn_Total_Phosphorus_30cm.csv,NPK,0.204,0.024
Water_sample_leaching_corn_Total_Phosphorus_30cm.csv,PK,0.182,-0.002
Water_sample_leaching_corn_Total_Phosphorus_30cm.csv,NK,0.299,0.142
Water_sample_leaching_corn_Total_Phosphorus_30cm.csv,CK,0.324,0.172
Water_sample_leaching_corn_Total_Phosphorus_30cm.csv,OF,0.226,0.052
Water_sample_leaching_rice_Total_Phosphorus_30cm.csv,NPK,0.788,0.739
Water_sample_leaching_rice_Total_Phosphorus_30cm.csv,PK,0.777,0.725
Water_sample_leaching_rice_Total_Phosphorus_30cm.csv,NK,0.229,0.05
Water_sample_leaching_rice_Total_Phosphorus_30cm.csv,CK,0.386,0.244
Water_sample_leaching_rice_Total_Phosphorus_30cm.csv,OF,1.0,1.0
Water_sample_leaching_vegetables_Total_Phosphorus_30cm.csv,NPK,0.254,0.077
Water_sample_leaching_vegetables_Total_Phosphorus_30cm.csv,PK,0.201,0.012
Water_sample_leaching_vegetables_Total_Phosphorus_30cm.csv,NK,0.464,0.337
Water_sample_leaching_vegetables_Total_Phosphorus_30cm.csv,CK,0.444,0.312
Water_sample_leaching_vegetables_Total_Phosphorus_30cm.csv,OF,0.221,0.036
