File,Dependent Variable,R-squared,Adjusted R-squared
Water_sample_leaching_corn_Total_Nitrogen_30cm.csv,NPK,0.078,-0.129
Water_sample_leaching_corn_Total_Nitrogen_30cm.csv,PK,0.114,-0.085
Water_sample_leaching_corn_Total_Nitrogen_30cm.csv,NK,0.091,-0.113
Water_sample_leaching_corn_Total_Nitrogen_30cm.csv,CK,0.125,-0.072
Water_sample_leaching_corn_Total_Nitrogen_30cm.csv,OF,0.169,-0.018
Water_sample_leaching_rice_Total_Nitrogen_30cm.csv,NPK,0.219,0.059
Water_sample_leaching_rice_Total_Nitrogen_30cm.csv,PK,0.128,-0.05
Water_sample_leaching_rice_Total_Nitrogen_30cm.csv,NK,0.179,0.011
Water_sample_leaching_rice_Total_Nitrogen_30cm.csv,CK,0.119,-0.061
Water_sample_leaching_rice_Total_Nitrogen_30cm.csv,OF,0.085,-0.102
Water_sample_leaching_vegetables_Total_Nitrogen_30cm.csv,NPK,0.091,-0.124
Water_sample_leaching_vegetables_Total_Nitrogen_30cm.csv,PK,0.145,-0.058
Water_sample_leaching_vegetables_Total_Nitrogen_30cm.csv,NK,0.115,-0.095
Water_sample_leaching_vegetables_Total_Nitrogen_30cm.csv,CK,0.162,-0.036
Water_sample_leaching_vegetables_Total_Nitrogen_30cm.csv,OF,0.183,-0.01
