Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,2.115,1.216,4.159,1.819,2.091,1.795,6.521220549271745,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
2019-08-19,5.536,3.526,6.878,3.402,2.536,2.688,6.521220549271745,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,3.492,1.377,5.299,1.457,1.101,1.057,6.521220549271745,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,4.37,2.806,4.287,1.777,1.886,1.46,6.521220549271745,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-10-10,5.697,3.301,5.652,2.75,5.698,3.415,6.521220549271745,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,7.484,2.303,7.856,2.319,3.329,4.274,6.521220549271745,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,4.382,1.975,3.272,1.645,3.267,3.558,6.521220549271745,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2020-05-27,9.85115,2.865,9.6048,2.304,9.36542,9.533643,8.2415696,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,6.39968,1.755,5.684,2.184,4.94596,4.0877168,4.0062276,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,14.08545,2.295,12.246,2.028,9.42096,10.3449918,10.834104,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,7.03118,2.34,8.2152,2.928,6.15989,6.3858585,7.3302691,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,9.22464,1.725,9.1358,2.064,7.8761,7.9480636,6.930968,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,5.47456,2.805,5.311,2.52,4.90455,4.377345,4.7574135,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-10,5.47456,2.60865,5.15167,2.3436,4.512186,4.712631,5.05364832,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0.0
2020-10-08,6.4162,1.65,6.9496,2.64,4.2952,4.58528,4.853576,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,12.7204,2.745,11.4576,2.232,10.3152,10.1752,12.37824,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,4.3022,2.13,4.7124,2.676,4.9504,3.841992,5.346432,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,7.7518,2.595,8.2516,2.424,6.4862,8.00009,7.523992,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,4.5696,2.785,4.5444,2.232,3.7394,5.19372,3.851582,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,5.96428,2.4,6.22496,2.364,4.75496,5.2623648,4.1368152,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-01-14,5.152,2.265,4.2752,2.364,3.5168,3.5532,4.114656,32.2,57.3,5.5,2.7,5.8,0.0,71.6,36.1,0.0
2021-04-28,6.022016,2.66475,5.78899,2.7216,5.100732,4.7275326,5.23315485,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,13.803741,2.1114,11.75616,1.98744,10.1746368,10.241541882,11.70083232,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,5.8237088,1.8252,5.3998,2.35872,5.2921772,4.414734144,3.80591622,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-02,10.048173,3.00825,9.12456,2.35008,8.428878,9.43830657,7.41741264,76.0,78.0,5.3,5.1,9.7,15.7,86.2,74.8,0.78
2021-06-09,6.9608682,2.34,7.80444,2.7816,5.6670988,6.25814133,7.843387937,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,9.4091328,1.6215,9.683948000000001,2.20848,7.954861,8.186505508,7.6240648,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,5.6935424,2.83305,5.04545,2.3688,4.7574135,4.24602465,4.56711696,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-07-14,5.748288,2.556477,5.666837,2.531088,4.82803902,5.08964148,4.8515023872,76.6,91.1,6.7,4.1,7.8,17.5,98.6,78.1,0.0
2021-08-15,5.838742,1.32,6.60212,2.9568,4.166344,5.043808,4.853576,77.9,82.4,6.7,5.1,13.6,0.0,89.6,77.0,0.73
2021-08-30,14.246848,2.66265,10.31184,2.0088,12.068784,10.073448,13.2447168,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,4.431266,2.343,3.76992,2.72952,4.752384,3.6498924,5.82761088,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,9.069606,2.93235,6.848828,2.424,7.199682,7.2800819,7.97543152,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,3.929856,2.75715,4.362624,2.27664,4.225522,6.0766524,3.96712946,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-18,6.2028512,2.064,7.0964544,2.10396,5.1353568,4.99924656,3.4749246,60.5,73.3,6.7,5.6,9.7,14.8,80.6,60.8,0.0
2021-10-26,5.71872,1.92525,3.762176,2.67132,3.129952,3.02022,4.19694912,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
