Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,0.03,0.041,0.023,0.025,0.033,0.03,0.4953331936915359,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
2019-08-19,0.036,0.032,0.012,0.011,0.016,0.03,0.4953331936915359,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,0.05,0.037,0.007,0.007,0.051,0.015,0.4953331936915359,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,0.033,0.015,0.024,0.006999999999999999,0.021,0.008,0.4953331936915359,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-10-10,0.106,0.102,0.029,0.017,0.076,0.116,0.4953331936915359,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.081,0.085,0.025,0.027999999999999997,0.116,0.098,0.4953331936915359,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,0.04,0.056,0.026,0.019,0.068,0.076,0.4953331936915359,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2020-05-27,1.048,1.053,0.11333,0.12267,0.909,0.9126,0.77265,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,0.936,0.805,0.118,0.12667,0.711,0.583184,0.74655,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,0.84935,0.73765,0.11133,0.14333,0.73365,0.74129,0.6236025,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,0.52687,0.52187,0.13533,0.16067,0.52875,0.4532,0.4653,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,0.30146,0.29146,0.14,0.142,0.21083,0.1991472,0.2382379,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
