Date,NPK,PK,NK,SI,CK,OF,MT,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-11-18,6.321,2.445,7.278,5.567,2.302,6.449340487780146,6.362719221515653,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,8.945,2.588,10.669,6.884,1.993,6.449340487780146,6.362719221515653,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,11.664,2.445,12.145,8.668,2.304,6.449340487780146,6.362719221515653,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,6.663,1.988,7.367,5.477,2.009,6.449340487780146,6.362719221515653,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-01-04,4.287,2.027,5.245,3.234,1.665,6.449340487780146,6.362719221515653,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-06-09,14.23701,2.64,12.252,10.2969,2.58,9.26721,10.657291500000001,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-19,16.172,2.745,14.3112,9.08544,2.268,8.631168,7.940674560000001,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79.0,0.0
2020-06-29,7.02227,2.49,8.568,4.49064,2.748,4.0864824,3.3100507440000007,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-10,11.24206,2.895,9.53992,5.90244,2.808,4.8400008,4.743200784,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0.0
2020-07-20,6.47456,2.43,5.835,4.671,2.076,5.27823,6.2810937,72.9,89.0,6.7,6.6,9.7,19.0,96.8,81.9,0.0
2020-09-20,14.9488605,2.64,11.88444,12.665187,2.1156,11.90527578,10.5956954442,75.0,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
