Date,NPK,PK,NK,SI,CK,OF,MT,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-11-18,0.091,0.041,0.025,0.138,0.018,0.2645685772554544,0.23978257931151092,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,0.073,0.088,0.032,0.076,0.022,0.2645685772554544,0.23978257931151092,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,0.088,0.095,0.045,0.073,0.042,0.2645685772554544,0.23978257931151092,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,0.102,0.145,0.014,0.068,0.033,0.2645685772554544,0.23978257931151092,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-01-04,0.082,0.133,0.018,0.085,0.033,0.2645685772554544,0.23978257931151092,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-06-09,0.768,0.807,0.0715,0.674,0.0485,0.5392,0.6200800000000001,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-19,0.474,0.425,0.064,0.302,0.0475,0.24462,0.2250504,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79.0,0.0
2020-06-29,0.132,0.135,0.084,0.126,0.0585,0.13734,0.1112454,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-10,0.07867,0.06667,0.0475,0.08933,0.056,0.09736970000000002,0.09542230600000001,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0.0
2020-07-20,0.06944,0.06,0.064,0.05889,0.0635,0.06772349999999999,0.08059096499999999,72.9,89.0,6.7,6.6,9.7,19.0,96.8,81.9,0.0
2020-09-20,0.8908800000000001,0.90384,0.07865,0.75488,0.053835,0.641648,0.57106672,75.0,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
2020-09-30,0.45030000000000003,0.374,0.0768,0.3473,0.046075,0.295205,0.31882140000000003,71.2,78.2,5.4,4.7,13.6,23.3,87.8,73.4,0.02
2020-10-10,0.12672,0.13095,0.08148,0.09954,0.073125,0.1154664,0.117775728,60.0,77.2,6.6,4.9,9.7,16.5,86.0,66.6,0.0
2020-10-21,0.06450940000000001,0.0826708,0.058425000000000005,0.0911166,0.05656,0.07744911,0.06350827020000001,55.0,72.4,6.7,12.0,17.5,28.6,79.5,65.5,0.0
2020-10-30,0.07499520000000001,0.0666,0.04864,0.0653679,0.07810500000000001,0.077787801,0.07389841095,62.5,73.5,4.6,3.3,9.7,16.7,78.8,66.6,0.0
2020-12-05,0.9176064,0.9851856,0.092807,0.7850752,0.04683645,0.8792842240000001,0.8177343283200001,42.9,57.5,6.3,7.4,11.7,18.6,68.0,48.6,0.0
2020-12-15,0.39626400000000006,0.44880000000000003,0.092928,0.402868,0.043310499999999995,0.33438044,0.2775357652,39.5,49.8,6.7,10.7,13.6,20.0,56.8,44.2,0.0
2020-12-25,0.1178496,0.10476,0.0708876,0.1124802,0.07531874999999999,0.13497624,0.1174293288,49.3,62.9,5.6,4.1,7.8,14.8,69.1,57.7,0.0
2021-01-04,0.065799588,0.09011117200000002,0.05667225,0.088383102,0.0701344,0.07866096078000001,0.0755145223488,34.7,63.4,6.7,5.1,9.7,12.6,70.2,44.1,0.0
2021-01-16,0.07724505600000002,0.058608,0.043289600000000004,0.067328937,0.093726,0.05857617519000001,0.0679483632204,42.8,64.3,3.8,6.6,21.4,31.1,73.8,44.4,0.0
2021-03-21,0.81408,0.75051,0.063635,0.7818400000000001,0.039285,0.442144,0.37140095999999995,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,0.51666,0.493,0.06464,0.3473,0.04845,0.1981422,0.15851376,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,0.34602,0.3315,0.04736,0.1812,0.035625000000000004,0.1785726,0.175001148,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,0.14520000000000002,0.15255000000000002,0.09408000000000001,0.14364000000000002,0.064935,0.1277262,0.10856727000000001,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,0.06608280000000001,0.0706702,0.038,0.0937965,0.044800000000000006,0.10029079100000003,0.09928788309000003,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,0.06735680000000001,0.060599999999999994,0.056319999999999995,0.0606567,0.07493000000000001,0.055533269999999996,0.049979943,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-10-26,0.880902144,0.857111472,0.0835263,0.871433472,0.040747712,0.84411264,0.7259368704,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-05,0.40815192,0.507144,0.0789888,0.33840912,0.051539495,0.3377238,0.27693351600000005,71.4,80.1,5.5,3.7,6.0,11.5,87.8,71.6,0.0
2021-11-15,0.136705536,0.125712,0.065925468,0.114729804,0.072306,0.14307456,0.1559512704,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-11-23,0.063167606,0.104528957,0.052705193,0.105175889,0.058211552,0.06764846,0.0717073676,42.6,58.1,6.7,6.4,13.6,20.6,64.4,49.5,0.0
