Date,NPK,PK,NK,SI,CK,OF,MT,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-11-18,1.338,0.856,2.339,1.327,0.675,2.9582841518245453,2.862267024887618,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,3.664,1.278,4.267,2.645,0.806,2.9582841518245453,2.862267024887618,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,3.256,0.774,4.256,1.998,1.341,2.9582841518245453,2.862267024887618,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,2.345,1.045,2.698,2.178,1.213,2.9582841518245453,2.862267024887618,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-01-04,1.994,0.766,3.478,2.14,0.778,2.9582841518245453,2.862267024887618,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-06-09,3.7675,1.05,4.0475,2.475,1.14,2.74725,3.159337500000001,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-19,6.68,1.095,5.6025,4.77,1.15,5.628599999999999,5.178311999999999,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79.0,0.0
2020-06-29,2.845,1.13,3.0825,1.7175,1.15,1.5285750000000002,1.2381457500000004,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-10,3.6775,1.005,3.8225,2.6875,1.455,2.176875,2.1333374999999997,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0.0
2020-07-20,1.9575,1.12,1.884,1.6125,1.11,1.806,2.14914,72.9,89.0,6.7,6.6,9.7,19.0,96.8,81.9,0.0
2020-09-20,2.8632999999999997,0.903,3.3594250000000008,2.079,1.1058,2.3284800000000003,2.0723472000000003,75.0,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
2020-09-30,6.4128,1.2154500000000001,6.4989,5.0562,1.2994999999999999,5.207886,5.624516880000001,71.2,78.2,5.4,4.7,13.6,23.3,87.8,73.4,0.02
2020-10-10,3.55625,1.3108,3.02085,2.009475,1.242,2.23051725,2.2751275950000003,60.0,77.2,6.6,4.9,9.7,16.5,86.0,66.6,0.0
2020-10-21,3.493625,0.9246,2.9433249999999997,2.63375,1.2658500000000001,2.3177000000000003,1.9005140000000005,55.0,72.4,6.7,12.0,17.5,28.6,79.5,65.5,0.0
2020-10-30,2.3098500000000004,0.8512000000000001,2.2231199999999998,1.9511250000000002,1.0101,2.3413500000000003,2.2242825000000006,62.5,73.5,4.6,3.3,9.7,16.7,78.8,66.6,0.0
2020-12-05,3.1496299999999997,0.79464,3.762556000000001,2.5155900000000004,0.9952199999999999,2.3646546000000006,2.199128778000001,42.9,57.5,6.3,7.4,11.7,18.6,68.0,48.6,0.0
2020-12-15,7.8236159999999995,1.3491495,7.993647,3.79215,1.2345249999999999,4.398893999999999,3.65108202,39.5,49.8,6.7,10.7,13.6,20.0,56.8,44.2,0.0
2020-12-25,4.125249999999999,1.3894479999999998,2.6583479999999997,2.3108962500000003,1.04328,2.5882038000000005,2.2517373060000003,49.3,62.9,5.6,4.1,7.8,14.8,69.1,57.7,0.0
2021-01-04,3.1442625000000004,0.822894,3.4142569999999997,2.6600875000000004,1.3164840000000002,3.1655041250000004,3.03888396,34.7,63.4,6.7,5.1,9.7,12.6,70.2,44.1,0.0
2021-01-16,2.0557665000000003,0.9533440000000001,2.4232007999999996,1.5218775000000002,0.898989,1.2783771000000002,1.4829174360000001,42.8,64.3,3.8,6.6,21.4,31.1,73.8,44.4,0.0
2021-03-21,7.1476,1.0074,5.93865,5.0562,1.196,5.178311999999998,4.349782079999998,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,2.8165500000000003,1.1864999999999999,3.39075,1.6488,1.2305,1.6050037500000003,1.2840030000000002,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,3.567175,1.0351499999999998,3.860725,2.84875,1.3677000000000001,2.2204125,2.17600425,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,1.859625,1.1760000000000002,1.71444,1.7092500000000002,1.0434,1.7157,1.458345,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,3.8246,0.9145499999999999,3.74605,2.875625,1.49865,2.02449375,2.0042488124999998,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,2.1141,1.0080000000000002,2.0347199999999996,1.45125,1.0434,1.806,1.6254000000000002,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-10-26,3.0236448,0.715176,4.02593492,2.5407459,0.8160804,2.222775324,1.91158677864,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-05,6.80654592,1.43009847,7.91371053,3.9059145,1.32094175,4.44288294,3.6431640108,71.4,80.1,5.5,3.7,6.0,11.5,87.8,71.6,0.0
2021-11-15,3.7539775,1.26439768,2.31276276,2.449550025,1.0119816,2.5882038,2.8211421420000002,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-11-23,2.8927215,0.9051834,3.72154013,2.12807,1.15850592,3.32377933125,3.523206091125,42.6,58.1,6.7,6.4,13.6,20.6,64.4,49.5,0.0
2021-12-01,1.829632185,0.8580096,2.205112728,1.232720775,0.90797889,1.048269222,0.9224769153600001,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,6.541056,1.1911410000000002,6.4989,5.30901,1.182545,5.520359160000001,5.793252386400001,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,1.7108550000000002,1.0584000000000002,1.6801511999999998,1.50925,1.0642680000000002,1.452956,1.47292845,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,4.835648,1.1182140000000003,7.148790000000001,4.351704,1.2605149999999998,4.36412258,4.32451688,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,2.263653,0.8937600000000001,2.0230392,1.87308,0.9797969999999999,2.1306285000000003,2.0685827250000006,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,1.84102875,1.1524800000000002,1.5601404,1.8459900000000002,1.085136,1.6470719999999999,1.458345,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,3.5634975000000004,0.9246,2.6784257499999997,2.7391,1.3164840000000002,2.3408770000000003,1.9955397000000006,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,2.3329485000000005,0.7660800000000001,2.4009696,1.9121025000000003,0.929292,2.2008690000000004,2.246525325000001,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-12-01,7.27596288,1.4435899650000001,7.31339288,3.7542285,1.1604535,4.310916119999999,3.9431685816,43.0,50.8,6.7,12.5,17.5,0.0,63.9,46.0,0.0
2022-12-11,3.0551410999999997,0.834372,3.08730488,2.2891869000000007,1.0847898,2.3173615080000007,2.089172339100001,43.8,58.8,6.7,11.3,15.5,0.0,71.1,52.7,0.0
2022-12-18,5.02907392,1.2076711200000003,5.0773021,4.00356768,1.1974892499999998,3.9277103220000003,4.7137233992,23.1,50.0,6.7,9.2,19.4,0.0,59.0,41.0,0.0
2022-12-25,3.2071477500000003,0.9051834000000001,3.44839957,2.6600875000000004,1.3559785200000003,3.4820545375000007,3.2516058372000005,40.1,58.1,6.7,3.1,5.8,0.0,71.6,41.0,0.0
2023-01-04,2.1791124900000005,0.8675430400000002,2.2535767439999996,1.4153460750000002,0.88100922,1.2911608710000002,1.3494548667600001,51.6,59.9,6.6,3.6,7.8,0.0,66.7,51.4,0.0
2023-01-12,2.8612788750000004,0.822894,3.1069738699999996,2.9260962500000005,1.2769894800000001,3.4820545375000007,2.9173286016,65.4,65.5,2.7,2.1,5.8,0.0,68.0,59.5,0.18
2023-01-16,1.9118628450000004,0.8866099200000002,2.2535767439999996,1.6284089250000002,0.9259586700000001,1.252809558,1.3642840411200001,37.3,47.3,6.7,10.1,13.6,0.0,55.9,44.2,0.0
2023-04-17,6.156288,1.2762225000000003,6.238944,5.207885999999999,1.27351,5.207886,5.624516880000001,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,3.6683062500000005,0.8783700000000001,2.9727582499999996,2.5547375,1.2911670000000002,2.3640540000000003,1.8815088600000005,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,2.3329485000000005,0.817152,2.1341951999999997,1.9901475000000002,1.0101,2.4115905000000004,2.2242825000000006,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,8.05832448,1.389623985,7.67390112,3.9059145,1.17279875,4.354905059999999,3.7241036604,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,4.249007499999999,1.4450259199999997,2.68493148,2.2415693625000004,1.0641456,2.5882038000000005,2.2292199329400004,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,7.010742297599999,1.4014965006,7.7554363194,4.0621510800000005,1.347360585,4.4873117694,3.497437450368,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
