Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,0.01,0.019,0.016,0.0165,0.011,0.008,0.2799140123714286,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
2019-08-19,0.005,0.005,0.006,0.009,0.012,0.008,0.2799140123714286,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,0.036,0.008,0.0,0.0,0.015,0.01,0.2799140123714286,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,0.001,0.008,0.004,0.002,0.04,0.004,0.2799140123714286,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-10-10,0.086,0.06,0.018,0.012,0.073,0.031,0.2799140123714286,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.067,0.079,0.022,0.009,0.026,0.057,0.2799140123714286,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,0.021,0.018,0.009000000000000001,0.017,0.0175,0.026,0.2799140123714286,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2020-05-27,0.747,0.717,0.061,0.055,0.609,0.6061,0.65772,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,0.436,0.425,0.056,0.052,0.381,0.37856,0.42672,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,0.349,0.321,0.06,0.0685,0.298,0.32825000000000004,0.28906,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,0.131,0.119,0.0715,0.056,0.134,0.1508,0.12060000000000001,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,0.088,0.08,0.061,0.0745,0.086,0.09920399999999999,0.07826,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,0.07889,0.06111,0.0635,0.0555,0.08111,0.0617211,0.0851655,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-10,0.0749455,0.0617211,0.06858,0.053835,0.0738101,0.062839413,0.08857212,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0.0
2020-10-08,0.589,0.608,0.0715,0.056,0.512,0.6516000000000001,0.5324800000000001,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,0.369,0.325,0.064,0.051,0.313,0.29596,0.3443,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,0.1,0.109,0.084,0.043,0.129,0.16703999999999997,0.13287000000000002,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,0.131,0.122,0.0475,0.0455,0.146,0.09632,0.12994,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,0.117,0.13,0.064,0.075,0.136,0.11556,0.15776,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,0.08667,0.07933,0.0645,0.057,0.06733,0.0733967,0.07675620000000001,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-01-14,0.06667,0.06056,0.051,0.041,0.07278,0.0756756,0.0778746,32.2,57.3,5.5,2.7,5.8,0.0,71.6,36.1,0.0
2021-04-28,0.55366,0.71136,0.060774999999999996,0.05600000000000001,0.55808,0.534312,0.5537792,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,0.39114,0.30875,0.05824,0.05457,0.33177999999999996,0.2722832,0.27544,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,0.26199,0.21775000000000003,0.04096,0.0408,0.21597000000000002,0.207172,0.210023,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-02,0.085,0.12644,0.06888000000000001,0.049879999999999994,0.13674,0.18708479999999994,0.1275552,76.0,78.0,5.3,5.1,9.7,15.7,86.2,74.8,0.78
