Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-27,0.019,0.01,0.005,0.001,0.006,0.011,0.18097961435873622,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,0.007,0.003,0.007,0.008,0.006,0.035,0.18097961435873622,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-09-18,0.01,0.008,0.016,0.01,0.005,0.006,0.18097961435873622,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
2019-10-10,0.249,0.06,0.026,0.009,0.165,0.534,0.18097961435873622,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.176,0.199,0.045,0.017,0.078,0.259,0.18097961435873622,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2020-04-07,0.4576,0.3762,0.06,0.04575,0.3388,0.3883,0.46207699999999996,55.8,65.8,6.2,2.5,6.8,12.4,73.0,57.4,0.0
2020-04-13,0.328,0.356,0.05205,0.05985,0.364,0.379,0.36005000000000004,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0.0
2020-04-23,0.169,0.1615,0.05835,0.0495,0.206,0.1655,0.153915,56.2,64.6,6.3,7.4,11.7,16.9,68.0,61.2,0.01
2020-05-27,0.0363,0.0327,0.0483,0.06117,0.0372,0.033,0.03234,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,0.0408,0.0324,0.0546,0.05535,0.0347,0.0395,0.0316,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,0.0402,0.039,0.0549,0.06216,0.04,0.0378,0.040824,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,0.0301,0.0306,0.04815,0.045,0.0341,0.0392,0.038808,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,0.0323,0.0369,0.0528,0.0462,0.0346,0.0351,0.037206,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,0.0403,0.0359,0.04545,0.051,0.0328,0.0373,0.04028399999999999,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-09-24,0.46675200000000006,0.334818,0.0492,0.0388875,0.376068,0.423247,0.44864182,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,0.30176000000000003,0.33108,0.043722000000000004,0.062244,0.33488,0.40553,0.3852535,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,0.1866,0.2286,0.0504,0.04605,0.2148,0.2064,0.212592,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,0.1044,0.0906,0.05445,0.0456,0.0903,0.1206,0.11336399999999999,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,0.032,0.035,0.05595,0.04815,0.0386,0.032,0.03136,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,0.033,0.0393,0.04575,0.05055,0.0333,0.0345,0.027600000000000003,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,0.0409,0.0307,0.0564,0.0492,0.0317,0.0317,0.02536,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-03-02,0.5274297600000001,0.29129166,0.045264,0.043165125,0.3384612,0.4655717,0.4531282382000001,46.8,62.9,6.7,10.3,15.5,27.4,76.6,57.6,0.0
2021-03-21,0.26856640000000004,0.3079044,0.03716370000000001,0.05850936,0.3482752,0.42986179999999996,0.39681110500000005,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,0.22330240000000004,0.231756,0.03454038,0.04606056,0.2478112,0.3203687,0.30049773,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,0.16980599999999998,0.258318,0.042839999999999996,0.0538785,0.210504,0.2064,0.2019624,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,0.084564,0.07701,0.0571725,0.03876,0.089397,0.129042,0.11563127999999999,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
