Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-27,2.187,1.707,2.19,1.246,2.467,2.414,1.8387577203571432,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,2.003,1.9080000000000001,2.719,1.13,2.2176666666666667,1.26,1.8387577203571432,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-09-18,1.7380000000000002,1.627,2.033,1.306,1.6404999999999998,2.225,1.8387577203571432,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
2019-10-10,1.0243333333333333,0.158,0.7953333333333333,0.363,1.0995,0.687,1.8387577203571432,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.403,0.1235,0.058,0.027,0.072,0.5285,1.8387577203571432,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2020-04-07,1.9,1.11,2.26,0.99,2.34,2.06,2.0806,55.8,65.8,6.2,2.5,6.8,12.4,73.0,57.4,0.0
2020-04-13,2.29,1.15,2.0,1.21,2.1,1.83,1.9032,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0.0
2020-04-23,2.44,1.03,1.66,1.22,2.07,1.94,2.0176,56.2,64.6,6.3,7.4,11.7,16.9,68.0,61.2,0.01
2020-05-27,1.95,1.16,2.42,1.25,2.36,1.7,1.887,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,1.93,1.35,1.51,1.29,1.91,1.72,1.9607999999999999,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,1.97,1.45,1.92,1.2,2.21,1.81,1.9548000000000003,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,2.58,1.38,2.25,0.95,1.81,1.98,1.6632,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,2.0,1.13,1.84,1.12,1.86,2.17,1.9313,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,2.36,1.28,2.49,0.92,2.44,1.64,1.886,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-09-24,2.4732,1.2074999999999998,1.98,1.3431,2.478,2.0313,1.929735,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,2.39,1.04,2.1,0.96,2.03,1.67,1.5697999999999999,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,1.83,1.05,1.93,1.17,1.83,2.24,1.7920000000000003,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,2.28,1.21,1.6,1.07,2.2,1.86,1.5996000000000001,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,2.1,1.3,1.97,1.05,1.93,1.77,2.0000999999999998,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
