Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
7/5/19,11.824,4.326,10.47,4.121,12.358,11.211,6.276663125,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
7/11/19,11.454,4.299,16.342,1.447,20.818,14.043,6.276663125,76.2,80.6,4.8,3.4,7.8,999.9,93.2,75.9,1.3
7/23/19,6.457,2.317,6.585,2.219,6.387,1.057,6.276663125,76.5,81.5,5.3,4,7.8,13.6,87.8,74.8,0.31
8/7/19,13.245,4.994,12.387,5.091,9.677,9.271,6.276663125,75.9,86,5.3,3.3,25.3,44.7,96.8,74.3,0.06
8/19/19,3.55,2.328,3.945,1.447,3.718,3.472,6.276663125,77,85.5,4.7,3.2,17.5,999.9,93.2,77.5,0.04
8/27/19,3.568,2.388,3.16,2.533,3.382,3.658,6.276663125,77.1,85,5.6,3.2,7.8,999.9,91.4,77,0.12
9/3/19,2.604,1.967,3.166,1.808,2.273,2.516,6.276663125,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
10/10/19,2.2,1.325,1.917,1.853,2.078,1.606,6.276663125,71.3,83.7,3.6,2.9,5.8,999.9,89.6,73,0
11/18/19,2.088,1.451,2.099,1.015,2.276,2.213,6.276663125,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0
12/10/19,2.346,1.224,1.853,0.859,2.057,1.38,6.276663125,38.9,61.1,5.9,2.5,5.8,999.9,73.4,45,0
12/18/19,1.445,0.858,2.126,0.967,2.601,0.667,6.276663125,58.4,72.7,3.8,6.3,13.6,999.9,85.1,59,0.21
12/25/19,2.249,1.122,1.785,0.469,1.629,0.84,6.276663125,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0
5/27/20,11.584,4.641,9.817,5.463,5.555,7.374,7.70646,68.4,79.4,6.1,5.5,10.9,16.5,93,73.2,0.38
6/2/20,15.312,5.408,13.608,5.192,8.361,9.389,12.96882,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
6/9/20,18.519,5.513,18.19,5.412,12.551,13.144,12.07526,74.1,78.1,4.8,4.6,13.6,25.3,86,73.4,0.75
6/18/20,15.908,6.559,13.014,5.824,11.658,13.97,10.84428,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
6/29/20,14.031,6.648,9.815,4.647,6.904,8.167,6.66822,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0
7/14/20,7.301,3.446,6.007,2.341,4.24,4.976,5.7611,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0
8/10/20,3.578,1.68,3.825,1.821,1.891,1.987,1.5369,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0
9/24/20,7.34,3.957,7.554,2.521,4.865,6.729,4.80675,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
10/8/20,15.00576,4.056,13.47192,4.25744,7.02324,6.76008,11.909898,58,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0
10/25/20,13.70406,5.18222,17.0986,4.6002,11.92345,9.59512,14.3176077,55,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0
