Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
8/19/19,3.386,1.518,3.728,1.332,3.072,2.829,3.9249037354555463,77,85.5,4.7,3.2,17.5,999.9,93.2,77.5,0.04
8/27/19,3.156,1.584,3.619,1.221,2.325,1.903,3.9249037354555463,77.1,85,5.6,3.2,7.8,999.9,91.4,77,0.12
9/3/19,3.467,2.202,3.234,1.83,1.73,1.999,3.9249037354555463,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
9/18/19,2.274,1.688,1.746,1.022,1.682,1.804,3.9249037354555463,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
10/10/19,2.019,1.302,2.543,1.216,2.124,1.25,3.9249037354555463,71.3,83.7,3.6,2.9,5.8,999.9,89.6,73,0
11/18/19,1.739,1.15,1.793,1.358,2.434,2.222,3.9249037354555463,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0
4/7/20,13.641,3.651,13.065,3.347,11.791,11.545,13.44174,55.8,65.8,6.2,2.5,6.8,12.4,73,57.4,0
4/13/20,6.433,3.329,3.976,2.381,5.116,4.907,5.78108,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0
4/23/20,8.327,3.711,5.964,2.726,5.26,4.484,6.049,56.2,64.6,6.3,7.4,11.7,16.9,68,61.2,0.01
5/27/20,4.429,1.911,3.234,1.781,3.818,3.148,4.50524,68.4,79.4,6.1,5.5,10.9,16.5,93,73.2,0.38
6/2/20,11.165,2.407,9.933,2.19,8.155,7.996,9.1336,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
6/9/20,4.688,1.568,4.022,1.437,3.82,2.277,4.1256,74.1,78.1,4.8,4.6,13.6,25.3,86,73.4,0.75
6/18/20,7.572,1.401,5.176,1.782,5.06,4.601,5.9202,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
6/29/20,4.774,1.742,3.152,1.443,2.657,1.563,2.71014,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0
7/14/20,4.191,1.877,3.142,1.646,3.36,3.332,3.864,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0
8/26/20,3.116,1.669,2.802,1.482,2.257,2.851,2.36985,74.2,83.8,6.1,4.2,13.6,21,96.8,75.2,2.15
9/24/20,2.131,1.317,4.37,1.625,1.515,1.999,1.818,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
10/8/20,13.398,1.66208,11.62161,1.26456,7.0133,7.75612,7.434098,58,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0
10/25/20,4.54736,1.58368,4.78618,1.40826,3.7436,2.32254,4.230268,55,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0
11/13/20,7.49628,1.24689,5.74536,1.81764,4.9588,4.37095,5.107564,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0
11/27/20,4.5353,1.79426,3.4672,1.42857,2.57729,1.31292,3.092748,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0
12/11/20,4.98729,1.65176,3.11058,1.3991,3.6624,2.89884,3.772272,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
