Date,NPK,PK,NK,SI,CK,OF,MT,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-11-18,5.55,4.306,5.117,5.099,2.591,5.824529472290144,5.697612041380073,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,5.44,2.696,4.48,2.438,1.295,5.824529472290144,5.697612041380073,38.9,61.1,5.9,2.5,5.8,999.9,73.4,45.0,0.0
2019-12-18,3.292,1.39,3.111,1.265,0.395,5.824529472290144,5.697612041380073,58.4,72.7,3.8,6.3,13.6,999.9,85.1,59.0,0.21
2019-12-25,3.19,1.18,2.382,2.402,1.291,5.824529472290144,5.697612041380073,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-01-04,5.675,1.792,5.19,4.429,0.675,5.824529472290144,5.697612041380073,56.2,69.1,2.5,1.9,3.9,999.9,79.3,53.6,0.0
2020-06-09,12.2655,3.3202,11.30857,8.6683,2.4047,6.161225,7.08540875,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-19,10.608,3.044,8.736,3.657,1.9425,5.283306,4.86064152,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79.0,0.0
2020-06-29,8.13124,2.641,7.68417,2.4035,0.7505,5.1388141,4.162439421,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-10,6.2205,1.77,4.6449,3.603,1.9365,5.246703,5.14176894,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0.0
2020-07-20,11.435125,2.7776,10.45785,6.86495,1.04625,5.9885,7.126315,72.9,89.0,6.7,6.6,9.7,19.0,96.8,81.9,0.0
2020-09-20,13.224,2.684,14.664,8.11155,2.064,8.0895996,7.199743644,75.0,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
2020-09-30,9.877,1.9744,8.941,5.9449,1.866,7.100696,7.66875168,71.2,78.2,5.4,4.7,13.6,23.3,87.8,73.4,0.02
2020-10-10,10.687,1.711,12.646,7.21395,1.768,8.360481,8.52769062,60.0,77.2,6.6,4.9,9.7,16.5,86.0,66.6,0.0
2020-10-21,10.683,1.684,9.611,6.5314,2.468,7.188382,5.89447324,55.0,72.4,6.7,12.0,17.5,28.6,79.5,65.5,0.0
2020-10-30,11.699,2.088,11.884,7.7061,2.648,7.681688,7.2976036,62.5,73.5,4.6,3.3,9.7,16.7,78.8,66.6,0.0
2020-12-05,11.5101,3.2469,11.4372,8.06325,1.734,7.477236,6.95382948,42.9,57.5,6.3,7.4,11.7,18.6,68.0,48.6,0.0
2020-12-15,2.866725,1.737,4.8790125,3.71925,2.436,3.08151,2.5576533,39.5,49.8,6.7,10.7,13.6,20.0,56.8,44.2,0.0
2020-12-25,8.136675,3.816,13.8101625,8.757,2.643,6.392925,5.56184475,49.3,62.9,5.6,4.1,7.8,14.8,69.1,57.7,0.0
2021-01-04,9.78075,2.156625,5.874271875,3.4749,2.2815,3.612002625,3.46752252,34.7,63.4,6.7,5.1,9.7,12.6,70.2,44.1,0.0
2021-01-16,11.9877,4.4745,8.572275,7.07625,3.234,8.783712,10.18910592,42.8,64.3,3.8,6.6,21.4,31.1,73.8,44.4,0.0
2021-03-21,14.32576432476,1.6837677279,11.6552398156513,6.08289967056,2.40645185494,4.7949593853258,4.02776588367367,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,6.52618181818182,1.58060606060606,4.02555353535353,5.2756,2.04964444444444,4.80403555555556,3.84322844444445,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,12.024968184996,2.219241117964,9.127485908145,6.34080460206105,1.829004444594,6.01868994112152,5.89831614229909,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,5.48450101010101,1.02708956228956,4.71487676767677,3.67188686868687,2.14327272727273,3.92323232323232,3.33474747474747,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,8.6493822018,2.070291650724,8.9532369368,7.1949717483525,1.5812142412,6.3030829535583,6.24005212402272,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,4.5738472598,1.6554869252,5.58880379127,3.605340182627,1.5617228315,5.767241197722,5.1905170779498,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-10-26,10.79364,2.98818,9.6122845,9.188398,1.947807,4.99059225,4.291909335,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-05,8.91072,2.92224,8.64864,2.96217,1.923075,4.86064152,3.9857260464,71.4,80.1,5.5,3.7,6.0,11.5,87.8,71.6,0.0
2021-11-15,6.504992,2.19203,6.8389113,2.01894,0.64543,4.6249326,5.041176534,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-11-20,5.411835,1.9293,3.948165,2.8824,1.70412,5.50903815,5.839580439,65.7,74.8,5.6,4.8,11.7,15.5,83.7,63.1,0.0
2021-12-01,10.06291,2.249856,8.8891725,6.9335995,0.87885,5.928615,5.2171812,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,12.042052540998,2.02052127348,11.9862877787816,7.299479604672,2.526774447687,5.27445532385838,4.8333190604084,68.0,73.0,6.0,2.7,5.8,999.9,81.5,60.4,0.0
2022-04-07,7.1788,1.89672727272727,4.83066424242424,6.33072,2.15212666666666,5.04423733333334,4.61187413333334,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,11.6262165942458,2.6630893415568,10.952983089774,7.60896552247326,1.9204546668237,6.3196244381776,7.07797937075891,59.4,63.4,6.4,5.8,9.7,999.9,75.0,59.7,0.06
2022-04-28,5.75872606060606,1.23250747474747,5.65785212121212,4.40626424242424,2.25043636363637,4.11939393939394,4.00169696969696,76.9,83.3,6.7,7.0,11.7,999.9,91.4,74.3,0.06
2022-05-10,9.08185131189,2.4843499808688,10.74388432416,8.633966098023,1.66027495326,6.61823710123621,7.48806254882726,75.9,77.5,5.7,4.8,9.7,999.9,83.1,70.7,0.72
2022-05-16,5.80253962279,1.98658431024,6.706564549524,4.3264082191524,1.639808973075,6.0556032576081,6.22862049353976,60.2,67.9,6.3,8.2,15.5,999.9,75.9,58.8,0.1
2022-05-23,4.9380824906878,1.82103561772,6.147684170397,3.9658742008897,1.42663380657525,5.81337912730378,5.70956878574478,74.9,76.2,4.7,4.7,7.8,999.9,82.8,72.0,0.06
2022-12-01,10.934595,3.409245,10.589292,6.611865,1.42188,6.87905712,6.0498316476,43.0,50.8,6.7,12.5,17.5,999.9,63.9,46.0,0.0
2022-12-11,7.485741,4.3884,7.24164075,7.0056,2.61657,5.68970325,5.2837525125,43.8,58.8,6.7,11.3,15.5,999.9,71.1,52.7,0.0
2022-12-18,10.17198,2.22132375,6.40295634375,2.988414,2.714985,3.43140249375,2.8780436916,23.1,50.0,6.7,9.2,19.4,999.9,59.0,41.0,0.0
2022-12-25,8.21583,1.8546975,6.4616990625,3.509649,2.50965,3.2508023625,3.0514198176,40.1,58.1,6.7,3.1,5.8,999.9,71.6,41.0,0.0
2023-01-04,4.11646253382,1.523047971184,6.5947884736986,4.00192760271597,1.28061272183,5.99793084563088,5.70956878574478,51.6,59.9,6.6,3.6,7.8,999.9,66.7,51.4,0.0
2023-01-12,7.72984125,4.5792,7.200711,8.84457,2.61657,7.0322175,5.33937096,65.4,65.5,2.7,2.1,5.8,999.9,68.0,59.5,0.18
2023-01-16,3.704816280438,1.920364833232,6.5389004357859,3.56928678080073,1.639808973075,5.24818948992702,5.2424222487293,37.3,47.3,6.7,10.1,13.6,999.9,55.9,44.2,0.0
2023-04-17,9.8222124,2.7790074,8.939424585,8.54521014,2.71198244,4.7410626375,4.07731386825,72.9,82.8,6.2,7.9,13.6,999.9,91.4,66.7,0.0
2023-04-26,8.465184,2.6884608,8.0432352,6.3355747,2.7476905,6.2431837832,7.346867962688,59.3,70.1,6.7,5.4,13.6,999.9,78.8,57.4,0.0
2023-05-04,6.04964256,1.9947473,6.496965735,4.767993,2.380887,5.118688666,5.67870594196,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,10.9427210483464,2.8973170061676,11.3998367536563,9.82376437195795,3.59926417791836,9.21719474583178,10.7084845280691,68.7,69.8,4.7,4.0,7.8,999.9,79.2,68.0,0.33
2023-05-18,5.98459264,2.0824285,6.291798396,4.6174248,1.87873413,4.39368597,4.7891177073,78.5,84.5,5.3,4.7,21.4,999.9,95.9,74.8,1.54
2023-06-07,7.957431625656,1.88396540215884,8.236977981856,6.54742429100077,1.486341386728,5.79883631727364,5.67844743286067,79.9,81.7,6.4,5.1,9.7,999.9,91.4,76.6,1.68
2023-06-28,4.253677951614,1.539602840436,5.029923412143,3.2448061643643,1.421167776665,3.3905170779498,4.93099122405231,78.1,83.7,6.7,4.9,11.7,21.4,92.7,77.0,0.07
2023-10-30,9.5344704,2.33019139565695,9.153091584,7.5437415,2.19829376948769,8.922705,9.8908992,65.2,76.1,6.1,5.7,11.7,999.9,86.0,64.8,0.0
2023-11-06,7.18631136,2.79690381599999,7.0425851328,6.598839,2.45342439999999,6.123247,7.03659654,58.9,78.6,7.2,9.7,19.4,999.9,86.7,65.1,0.0
2023-11-12,5.6032,1.80215465934736,5.939392,3.14502,1.7668182934778,4.16898,5.44,56.2,69.1,6.7,13.5,17.5,999.9,78.1,61.0,0.0
2023-11-18,9.99854627105139,2.35806714,8.49876433039368,8.82086208,2.710422,9.29100576,2.60871975,42.4,65.2,6.7,5.7,13.6,999.9,76.5,46.0,0.0
2023-11-25,6.06739575,1.66010892576467,2.69930826,5.893559575,1.6436722037274,6.032231565,11.5099544283033,59.0,70.5,5.9,4.0,5.8,999.9,82.4,57.6,0.0
2023-12-07,7.28559104,2.4811060909091,7.0670233088,7.94324881018116,2.36295818181819,9.4973627078253,6.24479232,47.4,64.2,6.7,3.2,5.8,999.9,77.0,49.1,0.0
2023-12-14,4.939755040584,1.745016,4.49517708693144,4.97536945202526,1.8564,4.1533518903863,4.5738472598,68.6,74.1,4.0,3.2,3.9,999.9,78.8,63.1,0.0
2023-12-21,3.5409,1.31775049076307,3.576309,3.84689797486301,1.3446433579215,3.37099307075624,2.7434,28.6,45.8,6.7,15.1,19.4,25.3,58.3,38.7,0.0
