File,Dependent Variable,R-squared,MAE,MSE,RMSE
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,NPK,0.16,1.523,3.393,1.842
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,PK,0.081,0.405,0.271,0.521
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,NK,0.067,1.023,1.614,1.27
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,CK,0.109,0.894,1.235,1.111
Water_sample_runoff_citrus_Ammoniacal_Nitrogen.csv,OF,0.255,0.803,1.271,1.127
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,NPK,0.405,2.004,5.898,2.429
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,PK,0.573,0.51,0.433,0.658
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,NK,0.358,2.174,5.88,2.425
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,CK,0.339,0.543,0.459,0.677
Water_sample_runoff_corn_Ammoniacal_Nitrogen.csv,OF,0.297,1.319,3.503,1.872
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,NPK,0.117,1.646,3.771,1.942
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,PK,0.093,0.26,0.094,0.307
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,NK,0.129,1.785,3.959,1.99
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,CK,0.137,0.208,0.08,0.283
Water_sample_runoff_rice_Ammoniacal_Nitrogen.csv,OF,0.099,0.917,1.471,1.213
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,NPK,0.067,1.166,2.312,1.521
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,PK,0.148,0.34,0.16,0.4
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,NK,0.26,1.091,2.118,1.455
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,CK,0.181,0.337,0.164,0.405
Water_sample_runoff_vegetable_Ammoniacal_Nitrogen.csv,OF,0.227,0.842,0.882,0.939
