Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-12-09,1.115,0.781466666666667,1.1238,0.9245,1.2257,35.0,59.8,6.3,2.5,6.0,9.7,69.8,44.1,0.0
2019-12-24,2.0935,0.840333333333333,1.158,2.7384,1.72242,56.7,63.7,4.5,4.8,9.7,12.4,74.1,57.2,0.0
2020-01-04,4.338,1.1832,5.5625,3.1095,4.53096,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-02-06,1.294,0.907333333333333,1.8735,1.0979,0.84847,55.3,61.9,5.4,2.7,5.8,13.8,66.2,55.4,0.0
2020-03-08,5.191,1.234,3.6545,3.2792,1.7064,66.4,74.3,5.9,9.5,15.5,26.2,77.0,65.5,0.0
2020-06-10,1.129,0.625333333333333,2.55484,0.0714099999999998,1.9507995,75.2,82.6,5.7,3.3,11.7,24.5,91.6,73.9,0.32
2020-07-11,3.878,1.40926666666667,4.404,3.0175,3.81168,74.2,88.4,6.7,9.5,13.6,22.9,96.8,82.4,0.0
2020-08-26,5.6685,0.944666666666667,1.71325,0.5435,1.73448,74.2,83.8,6.1,4.2,13.6,21.0,96.8,75.2,2.15
2020-09-24,2.6255,1.336,7.38125,4.635,0.999049999999997,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-18,6.157,0.88575,2.9432625,2.654,2.17541375,57.1,73.1,6.7,11.1,15.5,20.8,80.6,64.9,0.0
2020-11-12,4.2754,2.027,1.9775,2.403,4.106864,44.9,72.7,6.7,8.5,15.5,16.3,82.4,55.2,0.0
2020-12-14,3.6216,1.766,1.919,2.968,2.11854,45.8,51.6,6.6,13.4,17.5,22.9,72.5,44.6,0.03
2021-01-26,2.24,0.83,2.24666666666667,3.67333333333333,2.33,51.9,67.0,5.8,7.6,13.6,17.9,79.0,58.6,0.0
2021-02-24,1.9,0.71,3.04,1.7,2.103,60.1,72.2,6.1,5.9,15.5,0.0,85.5,59.2,0.0
2021-03-21,2.06,0.82,2.74,1.87,1.843,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-28,4.403662,1.08781,2.036825,2.47509,4.23006992,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-18,2.704265,1.37608,3.6026875,4.77405,1.10290215,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-26,1.27577,0.7378933294,2.1460656,0.0578421,1.931292,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,3.25752,1.1555986694,3.56724,2.806275,3.1255776,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-08-30,5.838555,1.0485800037,1.5933225,0.52176,1.561032,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,3.0620688,0.98225886899,3.388878,2.27308275,2.531717856,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,2.67801,1.44288,5.905,5.42295,0.9690785,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-26,5.41816,0.99204,3.031560375,2.41514,2.00138088,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,4.873956,1.76349,2.2939,2.6433,3.61404032,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,3.404304,1.46578,1.74629,2.43376,2.330394,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-01-24,2.4192,0.9545,2.3140666701,4.3345333294,1.864,55.8,58.4,5.0,6.8,11.7,17.1,70.3,53.6,0.18
2022-02-20,5.07546,1.159536,5.506875,3.7314,5.3465328,40.9,43.1,5.2,11.3,19.4,28.7,46.4,40.1,1.8
2022-03-30,1.294,0.97992,1.629945,1.043005,0.9587711,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,4.25662,1.27102,4.16613,3.869456,1.996488,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,1.07255,0.744146666666666,2.810324,0.0778368999999998,1.697195565,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,4.61482,1.606564,3.78744,3.228725,3.3161616,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
