Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,9.145,3.178,7.178,1.752,3.3011036424386315,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
2019-07-11,6.932,1.872,10.802,2.876,3.3011036424386315,76.2,80.6,4.8,3.4,7.8,0.0,93.2,75.9,1.3
2019-07-23,3.41,0.677,3.102,0.845,3.3011036424386315,76.5,81.5,5.3,4.0,7.8,13.6,87.8,74.8,0.31
2019-08-07,8.531,3.086,7.754,3.358,3.3011036424386315,75.9,86.0,5.3,3.3,25.3,44.7,96.8,74.3,0.06
2019-08-19,1.874,0.911,2.23,0.708,3.3011036424386315,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,2.006,1.161,1.559,1.208,3.3011036424386315,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,1.439,0.907,1.239,1.001,3.3011036424386315,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-10-10,1.817,0.558,2.052,0.653,3.3011036424386315,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.735,0.52,0.315,0.509,3.3011036424386315,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,0.523,0.216,0.507,0.26,3.3011036424386315,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,0.658,0.404,0.557,0.417,3.3011036424386315,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,0.664,0.308,0.548,0.091,3.3011036424386315,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-05-27,5.808,2.046,3.29,1.908,3.66886,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,6.937,2.573,5.149,2.298,7.20245,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,6.572,2.146,8.157,1.929,5.37763,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,9.894,2.094,11.486,1.787,8.6559,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,7.968,2.604,6.714,1.271,1.58802,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,4.46,1.55,3.341,0.887,3.7968,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-10,3.84,1.18,3.267,1.155,1.1817,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0.0
2020-09-24,4.647,1.898,6.082,1.492,4.98176,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,8.87936,1.51404,4.47963,1.65996,7.3164366,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,5.71764,1.26771,7.74915,2.38992,5.1917624,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,9.894,2.54826,8.72936,2.10888,7.3756137,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,8.20704,1.18682,5.30406,2.787,1.082361,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,5.7534,1.64004,3.37441,1.271,2.8476,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,4.315,1.829,4.3416,0.86926,3.1776,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-01-14,3.94995,1.2034,6.32528,1.16895,6.191616,32.2,57.3,5.5,2.7,5.8,0.0,71.6,36.1,0.0
2021-04-28,4.70335,1.81071,4.12452,0.912723,3.400032,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,9.99294,2.6501904,8.72936,2.2775904,6.859320741,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,6.88,1.74,6.48,1.26,4.223,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-02,8.3465984,1.4988996,4.927593,1.742958,7.755422796,76.0,78.0,5.3,5.1,9.7,15.7,86.2,74.8,0.78
2021-06-09,5.4889344,1.26771,7.0517265,2.5572144,5.71093864,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,6.2322276,1.2423558,7.439184,2.4377184,5.399432896,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,8.2891104,1.1037426,5.30406,3.00996,1.14730266,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-07-14,6.7,1.62,4.62,1.62,3.244,76.6,91.1,6.7,4.1,7.8,17.5,98.6,78.1,0.0
2021-08-15,4.515216,1.5209964,4.4957268,0.88534131,3.94403712,77.9,82.4,6.7,5.1,13.6,0.0,89.6,77.0,0.73
2021-08-30,9.4121216,1.741146,4.7036115,1.7761572,8.48706692,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,6.2434,1.8241,9.29898,1.85184,4.9474196,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,9.348190208,1.27406466,4.73048928,1.77781716,8.84118222,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,8.60544,2.39568,6.98256,1.35997,1.8738636,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-18,5.235594,1.9516476,3.1719454,1.35997,3.103884,60.5,73.3,6.7,5.6,9.7,14.8,80.6,60.8,0.0
2021-10-26,3.49515,2.13993,4.428432,0.825797,3.114048,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2022-03-30,1.44030303030303,0.411515151515151,1.04574410774411,0.509090909090909,0.87465,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,3.19082295,0.593061228,3.01689562,0.38936163,2.581653984,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,1.02171717171717,0.420070707070707,0.348,0.537727272727273,1.7707,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,2.64852,0.17534205,0.97275524,0.446280975,0.87602445,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,1.81194552,0.39804144,1.88806464,0.49995582,0.9181123875,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.87264072,0.525577688,0.948603632,0.41280855,1.4422057776,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,3.0373056,0.540484672,3.56338875,0.38230416,2.7636876288,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.87264072,0.4259043408,1.604854944,0.379033305,1.3086682056,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-09-04,1.368425048792,0.395054541504,1.257916767744,0.6399999936,1.062908,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,2.9951191424,0.679850676,3.9632481408,0.318905716,3.082003013,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,1.689765,0.4940595,1.5988896,0.408848,0.89385975,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,3.05327369,0.954991692,4.696266666,0.398119308,2.592461536,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,1.872882,0.528276,1.20796,0.2867955,1.105323765,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.6640380336,0.71376013824,1.16282227744,0.4917532708,1.3383666576,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2023-04-07,4.070724,1.0886715,4.120515,0.907452,2.8903238,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,3.558464,0.5570628,1.8996712,0.73468395,2.6600805,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,2.2702365,0.5893965,3.068478,0.9979424,2.2796067,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,1.4684124,0.7758912,1.7496675,0.5709025,0.9353225,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,2.818872,0.7654185,2.1828625,0.5642546,2.1134925,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,1.796416923,0.7666381632,1.91203257,0.83382075,1.3861267784,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.8024425325,0.282753128,0.87018855,0.27382962873,0.52513219395,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-09-07,3.551499,1.02335121,3.84696081,0.828790648,2.689809612,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,2.98846912,0.50574888,1.9015675,0.7251426,2.55099033,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,2.106405,0.58201416,2.7334503,0.87224004,2.15922042,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,2.438289,0.7159698,1.95638625,0.54069834,1.815004737,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,1.579811688,0.7428123549,1.704028097772,0.810738474,1.317277404352,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
2023-10-21,0.6510213,0.32156379,0.7376745012,0.334095525,0.5428340952,59.1,63.6,6.6,8.3,15.5,0.0,75.9,59.9,0.05
