Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-11-18,2.843,0.442,2.863,0.333,2.225733962265764,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,1.374,0.725,1.411,0.503,2.225733962265764,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,0.781,0.74,0.583,0.642,2.225733962265764,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,0.81,0.569,0.62,0.826,2.225733962265764,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-01-04,0.734,0.157,0.474,0.186,2.225733962265764,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-06-09,1.2478,0.2669,0.8058,0.3162,0.65331,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-19,1.215,0.8535,0.93,1.239,1.272375,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79.0,0.0
2020-06-29,1.4839,1.406,1.1077,1.2198,2.063267,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-10,2.061,1.0875,2.1165,0.7545,1.41795,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0.0
2020-07-20,4.40665,0.6851,4.43765,0.51615,1.057224,72.9,89.0,6.7,6.6,9.7,19.0,96.8,81.9,0.0
2020-09-20,5.6859685,1.7775849,7.681073,1.48791185,1.86139409,75.0,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
2020-09-30,7.08605,1.278453,7.4917475,1.50002625,1.377082,71.2,78.2,5.4,4.7,13.6,23.3,87.8,73.4,0.02
2020-10-10,3.5923775,0.49838045,5.98139,1.3101165,0.86959675,60.0,77.2,6.6,4.9,9.7,16.5,86.0,66.6,0.0
2020-10-21,6.93063,0.34550075,6.51073,1.60774675,2.9592899,55.0,72.4,6.7,12.0,17.5,28.6,79.5,65.5,0.0
