File,Dependent Variable,R-squared,MAE,MSE,RMSE
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,NPK,0.141,0.047,0.003,0.055
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,PK,0.121,0.061,0.006,0.077
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,NK,0.14,0.009,0.0,0.0
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,CK,0.167,0.03,0.001,0.032
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,OF,0.228,0.039,0.002,0.045
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,NPK,0.228,0.032,0.001,0.032
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,PK,0.187,0.035,0.002,0.045
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,NK,0.247,0.006,0.0,0.0
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,CK,0.347,0.008,0.0,0.0
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,OF,0.188,0.019,0.001,0.032
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,NPK,0.244,0.021,0.001,0.032
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,PK,0.224,0.028,0.001,0.032
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,NK,0.356,0.01,0.0,0.0
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,CK,0.244,0.01,0.0,0.0
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,OF,0.184,0.016,0.0,0.0
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,NPK,0.277,0.035,0.002,0.045
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,PK,0.251,0.041,0.002,0.045
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,NK,0.531,0.015,0.001,0.032
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,CK,0.345,0.024,0.005,0.071
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,OF,0.304,0.026,0.001,0.032
