Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-12-09,0.044,0.0124,0.018,0.0088,0.037536,35.0,59.8,6.3,2.5,6.0,9.7,69.8,44.1,0.0
2019-12-24,0.0712,0.024,0.0248,0.006,0.019552,56.7,63.7,4.5,4.8,9.7,12.4,74.1,57.2,0.0
2020-01-04,0.0992,0.0488,0.0212,0.0058,0.062868,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-02-06,0.066,0.022,0.0286,0.0258,0.04512,55.3,61.9,5.4,2.7,5.8,13.8,66.2,55.4,0.0
2020-03-08,0.0464,0.0228,0.0164,0.008,0.010556,66.4,74.3,5.9,9.5,15.5,26.2,77.0,65.5,0.0
2020-06-10,0.0536,0.0168,0.0248,0.007,0.036256,75.2,82.6,5.7,3.3,11.7,24.5,91.6,73.9,0.32
2020-07-11,0.044,0.0124,0.018,0.0088,0.037536,74.2,88.4,6.7,9.5,13.6,22.9,96.8,82.4,0.0
2020-08-26,0.0848,0.128,0.029,0.0286,0.09792,74.2,83.8,6.1,4.2,13.6,21.0,96.8,75.2,2.15
2020-09-24,0.0856,0.1572,0.0292,0.021,0.119888,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-18,0.0396,0.0732,0.0314,0.0118,0.11046,57.1,73.1,6.7,11.1,15.5,20.8,80.6,64.9,0.0
2020-11-12,0.09526,0.0935,0.02456,0.03256,0.1107392,44.9,72.7,6.7,8.5,15.5,16.3,82.4,55.2,0.0
2020-12-14,0.0715,0.121,0.02574,0.03586,0.030492,45.8,51.6,6.6,13.4,17.5,22.9,72.5,44.6,0.03
2021-01-26,0.10668,0.152775,0.02349,0.02385,0.022185,51.9,67.0,5.8,7.6,13.6,17.9,79.0,58.6,0.0
2021-02-24,0.06969,0.0693000000000001,0.02424,0.03132,0.0240975,60.1,72.2,6.1,5.9,15.5,0.0,85.5,59.2,0.0
2021-03-21,0.07107,0.05796,0.0333,0.03492,0.0424116,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-28,0.135505188,0.12307807116,0.0241688304,0.038724504,0.06436735656,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-18,0.11703282,0.097604514,0.03493854,0.0282893376,0.0904007709,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-26,0.058424,0.01764,0.029512,0.00784,0.03299296,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,0.03828,0.012772,0.0207,0.010472,0.03828672,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-08-30,0.098368,0.14464,0.0319,0.029744,0.0861696,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,0.0467392,0.0160524,0.02685592,0.0083888,0.0369521152,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,0.093626256,0.1044368257,0.041926248,0.031118274,0.1030568778,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-26,0.040788,0.066612,0.032028,0.009794,0.1192968,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,0.1019282,0.09724,0.0223496,0.0319088,0.091913536,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,0.065065,0.10406,0.0236808,0.0423148,0.02774772,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-01-24,0.1205484,0.13291425,0.0206712,0.0283815,0.02551275,55.8,58.4,5.0,6.8,11.7,17.1,70.3,53.6,0.18
2022-02-20,0.061232,0.0204,0.020088,0.00636,0.01720576,40.9,43.1,5.2,11.3,19.4,28.7,46.4,40.1,1.8
2022-03-30,0.09424,0.03904,0.023956,0.004814,0.05218044,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,0.05478,0.02574,0.024882,0.025284,0.0478272,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.046864,0.021432,0.017876,0.00664,0.01235052,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,0.062176,0.014112,0.029264,0.00721,0.02936736,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,0.044,0.013888,0.01944,0.00836,0.03153024,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.09752,0.14208,0.03074,0.029172,0.0900864,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,0.084744,0.154056,0.030952,0.02058,0.1378712,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.038808,0.05856,0.037366,0.013688,0.1093554,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-06-16,0.1019282,0.111265,0.0250512,0.0273504,0.112953984,78.8,81.2,4.9,4.5,11.7,0.0,87.8,73.6,0.14
2022-09-04,0.08008,0.11011,0.0216216,0.0315568,0.02561328,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-21,0.0896112,0.1374975,0.0194967,0.023373,0.02551275,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.0606303,0.0748440000000001,0.020604,0.0319464,0.02265165,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,0.0774663,0.0498456,0.030969,0.0345708,0.039866904,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.13415013612,0.1280011940064,0.020060129232,0.0464694048,0.0592179680352,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.1088405226,0.09858055914,0.033191613,0.022914363456,0.07232061672,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2022-12-01,0.059808,0.0288,0.023064,0.00486,0.02307136,43.0,50.8,6.7,12.5,17.5,0.0,63.9,46.0,0.0
2023-01-04,0.0980237,0.0924,0.0493948,0.0314472375,0.0,51.6,59.9,6.6,3.6,7.8,0.0,66.7,51.4,0.0
2023-02-18,0.22584198,0.110352406395,0.04252045512,0.089445232864,0.0,60.5,71.2,5.8,3.2,7.8,0.0,82.4,53.4,0.0
