Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-19,0.038,0.026,0.022,0.013,0.03126365967853966,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,0.009,0.017,0.016,0.009,0.03126365967853966,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,0.017,0.022,0.019,0.012,0.03126365967853966,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-09-18,0.022,0.037,0.018,0.007,0.03126365967853966,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
2019-10-10,0.018,0.021,0.017,0.066,0.03126365967853966,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.025,0.082,0.027,0.009,0.03126365967853966,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2020-04-07,0.09545,0.06806,0.02184,0.02163,0.048384,55.8,65.8,6.2,2.5,6.8,12.4,73.0,57.4,0.0
2020-04-13,0.009,0.014,0.001,0.001,0.00927,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0.0
2020-04-23,0.048,0.027,0.041,0.032,0.05076,56.2,64.6,6.3,7.4,11.7,16.9,68.0,61.2,0.01
2020-05-27,0.04,0.034,0.03,0.021,0.02619,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,0.078,0.109,0.007,0.015,0.01652,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,0.083,0.041,0.021,0.028,0.01196,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,0.046,0.034,0.011,0.009,0.0315,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,0.021,0.029,0.015,0.01,0.03126365967853966,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,0.039,0.022,0.012,0.01,0.01786,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-26,0.07221,0.08632,0.01932,0.02394,0.0541512,74.2,83.8,6.1,4.2,13.6,21.0,96.8,75.2,2.15
2020-09-24,0.07387,0.09877,0.01722,0.01911,0.070092,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,0.07304,0.08632,0.02163,0.0252,0.0402948,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,0.09628,0.07636,0.02373,0.02184,0.0663984,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,0.08798,0.06972,0.01806,0.02121,0.0508086,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,0.08466,0.083,0.02415,0.02331,0.0465102,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,0.08881,0.08964,0.02184,0.021,0.073224,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,0.07304,0.09794,0.02142,0.01932,0.070092,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-03-02,0.0756,0.10726,0.01326,0.01545,0.0278792928,46.8,62.9,6.7,10.3,15.5,27.4,76.6,57.6,0.0
2021-03-21,0.0723672,0.08185953,0.00809271,0.00946242,0.0563301648,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,0.04261257,0.0478398564,0.0139944,0.010032,0.022288760928,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,0.03373203,0.0400995,0.00839244,0.006912,0.0289900512,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,0.0487333333333333,0.05162,0.01148,0.0177866666666666,0.0223391,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,0.0546333333333333,0.0546,0.0143,0.00988,0.0307615,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,0.021673912,0.022403584,0.00953856,0.0091233,0.010601394048,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,0.029261505,0.0329916608,0.01058076,0.00947205,0.010778358312,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-08-30,0.072576,0.096534,0.0120666,0.013287,0.0326187693,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,0.065736,0.0725088,0.0255234,0.021924,0.035459424,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,0.04848,0.0243,0.03485,0.0304,0.0517752,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,0.0765426,0.0669312,0.0166152,0.0241794,0.059954148,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-26,0.07488,0.0872,0.00756,0.0174,0.0196588,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,0.0754885,0.0770904,0.0246792,0.02163,0.07542072,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,0.04922,0.03706,0.01265,0.0072,0.026775,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,0.045816,0.0296061,0.0100464,0.01049055,0.02830464,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,0.0054,0.00623,0.00058,0.00055,0.0050985,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.02088,0.014985,0.020705,0.01792,0.02538,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,0.0188,0.0136,0.0126,0.00987,0.01217835,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,0.03354,0.04687,0.003045,0.007725,0.007847,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.034445,0.02255,0.00924,0.0154,0.0052026,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,0.01863,0.01615,0.00594,0.004905,0.016695,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.012495,0.013195,0.008175,0.00545,0.0055614,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-06-16,0.022035,0.01067,0.00552,0.00445,0.0100909,78.8,81.2,4.9,4.5,11.7,0.0,87.8,73.6,0.14
2022-09-04,0.0317641,0.05580505,0.0070602,0.01137045,0.0297891,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,0.0299464,0.0384124,0.01286985,0.012222,0.018535608,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,0.0423632,0.0435252,0.0128142,0.0124488,0.035523144,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.0431102,0.0414834,0.010836,0.0120897,0.0254043,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,0.050796,0.036935,0.0142485,0.00990675,0.023952753,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.04840145,0.0363042,0.012558,0.011655,0.03258468,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.0357896,0.0528876,0.0113526,0.00966,0.03364416,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,0.073437,0.075166,0.010323,0.015456,0.0644279999999999,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,0.06682767,0.07065604,0.00980684999999999,0.01452864,0.05991804,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,0.04232,0.0437,0.0089559,0.010028,0.0298356,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.032942,0.033915,0.0091977,0.0066148,0.020832,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.0614814564,0.063590436,0.008826165,0.013802208,0.0563229575999999,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,0.034028,0.033201,0.00890099999999999,0.0065429,0.02016,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.019065,0.020839,0.00504,0.00364,0.01304376,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-25,0.0104742,0.008889881,0.00783,0.00827699999999999,0.00694381666,78.0,82.5,6.6,6.0,15.5,23.3,91.4,74.1,0.13
2023-08-16,0.075051,0.07847,0.010434,0.015288,0.019344,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,0.03819,0.035696,0.00786779999999999,0.00913899999999999,0.018715,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,0.026026,0.025025,0.009282,0.008142,0.0225788,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,0.0110561,0.008987572,0.003265,0.003455,0.0066483351,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,0.06829641,0.0714077,0.00980684999999999,0.01437408,0.05991804,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,0.038088,0.040204,0.00823942799999999,0.00912548000000001,0.02834382,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,0.03063606,0.03154095,0.008461884,0.006019468,0.0187488,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,0.0171585,0.01938027,0.0045864,0.0033852,0.012391572,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
