Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-11-18,0.106,0.068,0.087,0.249,0.04749425187058116,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,0.122,0.167,0.072,0.135,0.04749425187058116,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,0.162,0.064,0.056,0.106,0.04749425187058116,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,0.123,0.062,0.058,0.079,0.04749425187058116,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-01-04,0.02,0.039,0.091,0.033,0.04749425187058116,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-06-09,0.0568,0.0572,0.0206,0.0178,0.046968,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-19,0.02,0.03,0.03,0.0166,0.030096,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79.0,0.0
2020-06-29,0.026,0.0436,0.0244,0.0158,0.0216,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-10,0.0376,0.0388,0.0224,0.0256,0.01908,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0.0
2020-07-20,0.0504,0.0404,0.022,0.0216,0.05964,72.9,89.0,6.7,6.6,9.7,19.0,96.8,81.9,0.0
2020-09-20,0.06075,0.0342,0.0128,0.0136,0.0475785,75.0,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
2020-09-30,0.04815,0.06435,0.0178,0.018,0.0297,71.2,78.2,5.4,4.7,13.6,23.3,87.8,73.4,0.02
2020-10-10,0.0405,0.0657,0.0108,0.0238,0.060264,60.0,77.2,6.6,4.9,9.7,16.5,86.0,66.6,0.0
2020-10-21,0.04005,0.05715,0.0272,0.0124,0.053703,55.0,72.4,6.7,12.0,17.5,28.6,79.5,65.5,0.0
2020-10-30,0.0657,0.03105,0.022,0.0272,0.0500175,62.5,73.5,4.6,3.3,9.7,16.7,78.8,66.6,0.0
2020-12-05,0.05445,0.0423,0.0204,0.0116,0.031104,42.9,57.5,6.3,7.4,11.7,18.6,68.0,48.6,0.0
2020-12-15,0.0342,0.0459,0.0148,0.0266,0.039114,39.5,49.8,6.7,10.7,13.6,20.0,56.8,44.2,0.0
2020-12-25,0.05265,0.0441,0.0294,0.0134,0.034776,49.3,62.9,5.6,4.1,7.8,14.8,69.1,57.7,0.0
2021-01-04,0.05175,0.03375,0.0172,0.022,0.0342225,34.7,63.4,6.7,5.1,9.7,12.6,70.2,44.1,0.0
