File,Dependent Variable,R-squared,MAE,MSE,RMSE
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,NPK,0.04,1.108,1.547,1.244
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,PK,0.165,0.424,0.304,0.551
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,NK,0.074,1.043,1.729,1.315
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,CK,0.178,0.248,0.116,0.341
Water_sample_runoff_citrus_Nitrate_Nitrogen.csv,OF,0.05,0.721,0.904,0.951
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,NPK,0.359,1.202,2.317,1.522
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,PK,0.305,0.316,0.167,0.409
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,NK,0.317,1.464,2.837,1.684
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,CK,0.509,0.283,0.115,0.339
Water_sample_runoff_corn_Nitrate_Nitrogen.csv,OF,0.333,0.829,1.196,1.094
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,NPK,0.287,0.418,0.298,0.546
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,PK,0.206,0.198,0.07,0.265
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,NK,0.205,0.555,0.411,0.641
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,CK,0.222,0.155,0.039,0.197
Water_sample_runoff_rice_Nitrate_Nitrogen.csv,OF,0.241,0.352,0.191,0.437
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,NPK,0.089,1.567,3.322,1.823
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,PK,0.251,0.431,0.292,0.54
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,NK,0.106,1.636,4.32,2.078
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,CK,0.195,0.466,0.422,0.65
Water_sample_runoff_vegatable_Nitrate_Nitrogen.csv,OF,0.129,1.436,3.347,1.829
