Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,1.765,0.995,2.267,0.752,2.204783496522807,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
2019-07-11,1.723,0.616,2.366,0.718,2.204783496522807,76.2,80.6,4.8,3.4,7.8,0.0,93.2,75.9,1.3
2019-07-23,1.523,0.892,2.338,0.797,2.204783496522807,76.5,81.5,5.3,4.0,7.8,13.6,87.8,74.8,0.31
2019-08-07,1.844,0.908,1.763,0.733,2.204783496522807,75.9,86.0,5.3,3.3,25.3,44.7,96.8,74.3,0.06
2019-08-19,0.752,0.594,1.152,0.471,2.204783496522807,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,0.899,0.501,0.56,0.587,2.204783496522807,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,0.732,0.733,1.4,0.505,2.204783496522807,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-10-10,1.188,0.945,1.394,0.865,2.204783496522807,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,1.198,1.126,1.511,0.096,2.204783496522807,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,1.541,0.531,0.754,0.528,2.204783496522807,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,1.081,0.292,1.233,0.357,2.204783496522807,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,1.155,0.555,0.825,0.312,2.204783496522807,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-05-27,3.808,0.544,3.29,0.408,4.12776,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,3.72,0.498,3.673,0.508,2.54272,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,1.617,0.5545,1.584,0.352,1.0815,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,0.436,0.195,0.643,0.393,0.83538,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,2.102,0.662,1.01,0.347,1.05621,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,0.984,0.747,1.324,0.383,1.34754,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-10,3.854,0.372,4.434,0.692,3.26,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0.0
