Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-19,0.69,0.448,0.62,0.444,0.8706374651008101,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,0.507,0.314,0.441,0.376,0.8706374651008101,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,0.746,0.421,0.706,0.384,0.8706374651008101,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-09-18,1.542,0.735,1.182,0.576,0.8706374651008101,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
2019-10-10,1.375,0.833,1.706,0.604,0.8706374651008101,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.982,0.789,1.223,0.71,0.8706374651008101,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2020-04-07,1.789,0.398,1.531,0.398,1.103,55.8,65.8,6.2,2.5,6.8,12.4,73.0,57.4,0.0
2020-04-13,1.82,0.365,1.403,0.349,1.47128,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0.0
2020-04-23,0.749,0.134,0.748,0.168,0.8614,56.2,64.6,6.3,7.4,11.7,16.9,68.0,61.2,0.01
2020-05-27,0.586,0.309,0.538,0.271,0.39474,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,1.747,0.514,1.636,0.487,0.85578,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,0.447,0.306,0.424,0.243,0.46332,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,1.142,0.26,0.75,0.379,0.33284,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,0.435,0.08,0.41,0.171,0.24486,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,0.729,0.253,0.365,0.342,0.42183,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-26,0.743,0.294,0.506,0.303,0.45714,74.2,83.8,6.1,4.2,13.6,21.0,96.8,75.2,2.15
2020-09-24,0.63,0.329,0.558,0.29,0.6363,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,1.60724,0.3369,1.7996,0.34317,0.9584736,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,0.50064,0.3213,0.3816,0.21141,0.572286,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,1.05064,0.2392,0.8325,0.379,0.6099428,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,0.6828,0.0816,0.451,0.18468,0.3117018,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,0.80919,0.21505,0.40515,0.36594,0.3938112,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,0.8173,0.31752,0.54142,0.27573,0.4657615,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-03-02,1.21212121212121,0.371380471380471,1.18552188552189,0.306060606060606,0.736363636363638,46.8,62.9,6.7,10.3,15.5,27.4,76.6,57.6,0.0
2021-03-21,1.6715296,0.330162,1.61964,0.3500334,0.8876385,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,0.4856208,0.343791,0.36252,0.2262087,0.466554774,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,0.7525467,0.1999965,0.5767895,0.384237,0.55826992,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,0.70976430976431,0.265319865319865,0.81986531986532,0.251010101010101,0.390498316498317,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,0.62053872053872,0.326599326599327,0.85286195286195,0.215151515151515,0.75353535353535,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,0.5296272,0.2392,0.840825,0.37142,0.6339531,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
