Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-11-18,3.549,1.592,2.533,1.318,3.3271199226201835,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,2.823,0.989,2.298,0.581,3.3271199226201835,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,2.423,0.879,2.228,0.23,3.3271199226201835,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,1.24,0.396,0.541,0.215,3.3271199226201835,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-01-04,3.871,1.066,3.518,0.329,3.3271199226201835,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-06-09,6.5807,1.8122,5.9806,0.5593,6.508586,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-19,1.86,0.594,0.8115,0.3225,3.204369,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79.0,0.0
2020-06-29,4.6037,1.6701,4.2332,0.437,3.7460248,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-10,4.2345,1.4835,3.447,0.8715,2.982252,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0.0
2020-07-20,5.50095,1.4676,3.92615,1.0429,3.93155175,72.9,89.0,6.7,6.6,9.7,19.0,96.8,81.9,0.0
2020-09-20,7.23877,0.812858,6.57866,0.497777,4.532239712,75.0,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
2020-09-30,2.418,0.62866,1.05495,0.287025,2.81366085,71.2,78.2,5.4,4.7,13.6,23.3,87.8,73.4,0.02
2020-10-10,6.90555,1.186389,6.3498,0.38893,3.68072712,60.0,77.2,6.6,4.9,9.7,16.5,86.0,66.6,0.0
2020-10-21,3.3876,1.320315,2.7576,0.775635,1.87881876,55.0,72.4,6.7,12.0,17.5,28.6,79.5,65.5,0.0
2020-10-30,4.950855,1.306164,3.533535,0.928181,2.4768776025,62.5,73.5,4.6,3.3,9.7,16.7,78.8,66.6,0.0
2020-12-05,8.2521978,0.9754296,7.4996724,0.67116,5.16675327168,42.9,57.5,6.3,7.4,11.7,18.6,68.0,48.6,0.0
2020-12-15,3.43356,0.754392,1.498029,0.34443,3.7774675848,39.5,49.8,6.7,10.7,13.6,20.0,56.8,44.2,0.0
2020-12-25,4.833885,1.4236668,4.44486,0.466716,3.005927148,49.3,62.9,5.6,4.1,7.8,14.8,69.1,57.7,0.0
2021-01-04,2.71008,1.584378,2.20608,0.730762,1.374588768,34.7,63.4,6.7,5.1,9.7,12.6,70.2,44.1,0.0
2021-01-16,6.0400431,1.0673968,4.3109127,1.2138172,2.97100427715,42.8,64.3,3.8,6.6,21.4,31.1,73.8,44.4,0.0
2021-03-21,8.169675822,1.053463968,6.974695332,0.6644484,4.650077944512,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,3.53131313131313,0.446464646464646,2.98855218855219,0.855555555555556,3.17777777777778,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,5.798441376,1.01402696,3.966039684,0.710922576,3.030424362693,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,2.34141414141414,0.418855218855219,1.35353535353535,0.921212121212121,2.12323232323232,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,4.833885,0.89485014,4.3559628,0.43404588,3.18628277688,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,2.4661728,0.8931532,2.426688,0.71614676,1.34709699264,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-10-26,6.9492192,0.96730102,5.8550074,0.55751024,3.8070816,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-05,2.03112,0.691526,0.9389055,0.28415475,3.29198337,71.4,80.1,5.5,3.7,6.0,11.5,87.8,71.6,0.0
2021-11-15,4.68886845,1.49485014,4.7560002,0.41537724,2.67527503,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-11-20,3.014964,1.2410961,3.30912,0.92300565,2.17943004,65.7,74.8,5.6,4.8,11.7,15.5,83.7,63.1,0.0
2021-12-01,4.40076,1.746444,4.318765,1.157619,3.65634336,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,7.7611920309,1.25362212192,8.0208996318,0.63122598,4.4175740472864,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,3.35474747474747,0.522363636363636,3.37706397306398,0.812777777777778,3.01888888888889,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,5.5085193072,1.1559907344,4.28332285872,0.6753764472,2.87890314455835,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,2.22434343434343,0.376969696969697,1.62424242424242,0.875151515151515,2.0170707070707,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,4.59219075,0.850107633,4.443082056,0.412343586,3.026968638036,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,2.84286416,0.857427072,2.23255296,0.680339422,1.279742143008,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,2.5924574258878,0.75918022,2.01415104,0.53643656298025,2.82880845287741,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-12-01,7.4559331,0.94291528,7.4996724,0.43804376,4.80417409472,43.0,50.8,6.7,12.5,17.5,0.0,63.9,46.0,0.0
2022-12-11,2.49054,0.6160868,0.907257,0.26693325,2.476021548,43.8,58.8,6.7,11.3,15.5,0.0,71.1,52.7,0.0
2022-12-18,8.2176045,1.17452511,5.968812,0.3539263,3.9015707472,23.1,50.0,6.7,9.2,19.4,0.0,59.0,41.0,0.0
2022-12-25,4.80232935,1.18860924,4.06356525,0.81679928,2.253958618275,40.1,58.1,6.7,3.1,5.8,0.0,71.6,41.0,0.0
2023-01-04,3.794112,1.28070555,2.592144,0.90749295,1.7097250716,51.6,59.9,6.6,3.6,7.8,0.0,66.7,51.4,0.0
2023-01-12,5.59446615,1.34534892,3.78088245,0.86320833,2.105345962125,65.4,65.5,2.7,2.1,5.8,0.0,68.0,59.5,0.18
2023-01-16,3.455352,1.5315654,3.088512,0.82992945,1.7285132592,37.3,47.3,6.7,10.1,13.6,0.0,55.9,44.2,0.0
2023-04-17,6.5759712018,1.8244183581,5.7525197204475,1.72753281428,3.23577525009375,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,5.612416992,1.8173995008,5.3849459664,1.714558872,4.1392308482616,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,4.08955837056,1.23175645775,4.05410661864,1.4701977225,3.460233538216,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,7.25502405505364,1.90208861454903,7.70628964547166,2.40970736711634,6.17091188233438,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,3.73438580736,1.42125745125,4.253255715696,1.2211771845,2.8558958805,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,5.01716063997611,1.27356061185938,5.08633390379608,1.01442799644186,3.80693604229014,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-28,2.70959285517812,0.990734427820566,3.26945021789295,0.92375905483225,2.20383610066737,78.1,83.7,6.7,4.9,11.7,21.4,92.7,77.0,0.07
2023-10-30,5.9495095296,1.59035562753587,5.830519339008,1.38602422166199,5.8577558325,65.2,76.1,6.1,5.7,11.7,0.0,86.0,64.8,0.0
2023-11-06,4.71781340784,1.79980760559599,4.6692339430464,1.59472586,4.0995138665,58.9,78.6,7.2,9.7,19.4,0.0,86.7,65.1,0.0
2023-11-12,3.5692384,1.17140052857578,3.8606048,1.15991620966818,2.60144352,56.2,69.1,6.7,13.5,17.5,0.0,78.1,61.0,0.0
2023-11-18,6.75901727923074,1.45610645895,5.46895484660833,1.849863015,6.15993681888,42.4,65.2,6.7,5.7,13.6,0.0,76.5,46.0,0.0
2023-11-25,3.9438072375,1.02511726165969,1.78964137638,1.11112240971972,3.842531506905,59.0,70.5,5.9,4.0,5.8,0.0,82.4,57.6,0.0
2023-12-07,4.59356515072,1.56433739031819,4.7313721052416,1.55128204636364,5.98808718728385,47.4,64.2,6.7,3.2,5.8,0.0,77.0,49.1,0.0
2023-12-14,3.37138281519858,1.19097342,2.86342780437533,1.2187266,2.64568515417608,68.6,74.1,4.0,3.2,3.9,0.0,78.8,63.1,0.0
2023-12-21,2.18650575,0.882233953565876,2.371092867,0.856537818995996,2.30070277079114,28.6,45.8,6.7,15.1,19.4,25.3,58.3,38.7,0.0
