Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-19,0.097,0.082,0.04,0.022,0.21896446606797423,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,0.047,0.051,0.011,0.011,0.21896446606797423,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,0.04,0.008,0.047,0.021,0.21896446606797423,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-09-18,0.04,0.116,0.012,0.021,0.21896446606797423,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
2019-10-10,0.004,0.047,0.031,0.008,0.21896446606797423,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.123,0.068,0.006,0.006,0.21896446606797423,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2020-04-07,0.7656315,0.839234,0.0537304,0.0187404,0.58201728,55.8,65.8,6.2,2.5,6.8,12.4,73.0,57.4,0.0
2020-04-13,0.12495,0.09243,0.0236,0.00904,0.040232,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0.0
2020-04-23,0.1884,0.19594,0.01785,0.00832,0.0782595,56.2,64.6,6.3,7.4,11.7,16.9,68.0,61.2,0.01
2020-05-27,0.793,0.72705,0.12971,0.05406,0.5596814,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,0.44635,0.2919,0.05985,0.04558,0.227772,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,0.43355,0.38266,0.0918,0.07632,0.174048,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,0.34456,0.2835,0.04557,0.02788,0.08991,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,0.0816,0.03864,0.02574,0.0374,0.0348285,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,0.07676,0.05673,0.03069,0.02185,0.045087,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-26,0.0532042,0.00453180000000001,0.0537888,0.0498992,0.01572155,74.2,83.8,6.1,4.2,13.6,21.0,96.8,75.2,2.15
2020-09-24,0.0488865,0.00127322000000001,0.0795492,0.0580087,0.0159757092,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,0.9084748,0.6440112,0.0867552,0.065188,0.72341808,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,0.7390372,0.7574912,0.0943313,0.0644844,0.5090688,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,0.4798752,0.3165561,0.1151922,0.0745836,0.171164448,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,0.3225516,0.349713,0.07885,0.0464858,0.185587648,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,0.1667316,0.2436876,0.0801288,0.08568,0.065785206,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,0.0201929,0.0193819,0.0832304,0.0889084,0.017043,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-03-02,0.882108,0.920544533333333,0.1015638,0.10764,0.188508039264,46.8,62.9,6.7,10.3,15.5,27.4,76.6,57.6,0.0
2021-03-21,0.592877808,0.8211522606,0.0835537339,0.0763857864,0.378360569328,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,0.473946473,0.36313158924,0.096353208,0.09257864,0.205147575072,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,0.37267797,0.3418005,0.0841961552,0.07478016,0.245370036384,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,0.41968,0.460456333333333,0.122094,0.108437333333333,0.176554938,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,0.450873999999999,0.387342666666667,0.108758,0.0800128,0.25051235,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,0.19654009128,0.2447591552,0.0754500096,0.073830933,0.11444962117248,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,0.199535596,0.266739037376,0.0781687692,0.069434637,0.11372764812984,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-08-30,0.911101485,0.69656422,0.043521624,0.015179724,0.6518593536,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,0.826712068,0.51520896,0.088490304,0.05280228,0.759588984,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,0.5639962993,0.3958134331,0.1146603199,0.0870239216,0.2030961042,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,0.441485184,0.256410441,0.12095181,0.068616912,0.157471294,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-26,0.329002632,0.40216995,0.0859465,0.043696652,0.1800200205,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,0.36520794,0.3718489632,0.09570704,0.093614976,0.265543091,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,0.3135496,0.257985,0.0432915,0.0301104,0.1042956,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,0.48956994,0.391231426666666,0.059922642,0.0505908,0.10556450198784,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,0.28754573688,0.394153085088,0.03342149356,0.041248324656,0.15323603057784,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.4190013,0.400436872,0.046211529,0.0500526,0.10556450198784,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,0.24171270123,0.1652248731042,0.05010366816,0.039345922,0.0923164087824,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,0.3260827944,0.488585595057,0.0388524862635,0.045067613976,0.21188191882368,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.254743809999999,0.189797906666667,0.054379,0.034805568,0.15030741,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,0.16584169665,0.1521012225,0.036204346736,0.029912064,0.12513871855584,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.1149759533988,0.10402264096,0.033575254272,0.03396222918,0.051502329527616,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-09-04,0.1316010528,0.2131500735,0.0356677975,0.02534405816,0.1080120123,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,0.4546916374,0.2807888832,0.0398206368,0.0308893338,0.33421915296,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,0.2622582791745,0.1959276493845,0.056183556751,0.038725645112,0.102563532621,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.2317797216,0.14102574255,0.0532187964,0.03671004792,0.06928736936,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,0.4008846534,0.278625688,0.02197842012,0.00865244268,0.329188973568,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.1807779303,0.221250133104,0.0492891256,0.04493518848,0.14339326914,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.145800564,0.130282425,0.02077992,0.015958512,0.058927014,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,0.660933,0.676494,0.092907,0.139104,0.579852,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,0.60144903,0.63590436,0.08826165,0.13075776,0.53926236,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,0.38088,0.3933,0.0806031,0.090252,0.2685204,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.296478,0.305235,0.0827793,0.0595332,0.187488,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.5533331076,0.572313924,0.079435485,0.124219872,0.5069066184,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
