Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-12-09,3.684,2.319,3.8115,2.472,3.62148,35.0,59.8,6.3,2.5,6.0,9.7,69.8,44.1,0.0
2019-12-24,5.5305,2.5245,5.322,2.634615,4.571028,56.7,63.7,4.5,4.8,9.7,12.4,74.1,57.2,0.0
2020-01-04,8.505,2.8395,10.701,2.27175,6.89022,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-02-06,3.972,2.304,4.5375,2.4519,3.35829,55.3,61.9,5.4,2.7,5.8,13.8,66.2,55.4,0.0
2020-03-08,9.822,2.769,8.6415,2.1525,5.53878,66.4,74.3,5.9,9.5,15.5,26.2,77.0,65.5,0.0
2020-06-10,3.972,2.184,5.02284,2.784615,4.3968525,75.2,82.6,5.7,3.3,11.7,24.5,91.6,73.9,0.32
2020-07-11,8.526,3.2469,8.472,1.734,5.5305,74.2,88.4,6.7,9.5,13.6,22.9,96.8,82.4,0.0
2020-08-26,2.8495,1.737,3.14775,1.436,2.37978,74.2,83.8,6.1,4.2,13.6,21.0,96.8,75.2,2.15
2020-09-24,5.6115,3.816,9.52425,2.643,4.48335,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-18,8.505,2.156625,5.1080625,2.2815,3.4289325,57.1,73.1,6.7,11.1,15.5,20.8,80.6,64.9,0.0
2020-11-12,7.734,4.4745,5.5305,3.234,5.908092,44.9,72.7,6.7,8.5,15.5,16.3,82.4,55.2,0.0
2020-12-14,7.7784,4.017,6.234,3.846,4.77225,45.8,51.6,6.6,13.4,17.5,22.9,72.5,44.6,0.03
2021-01-26,4.70376,1.7190572,4.61584853333333,1.4795424,4.917094336,51.9,67.0,5.8,7.6,13.6,17.9,79.0,58.6,0.0
2021-02-24,6.2891715,1.4639776,6.62108,1.785285,4.778312448,60.1,72.2,6.1,5.9,15.5,0.0,85.5,59.2,0.0
2021-03-21,4.689503,1.7187552,6.98728,1.65504,4.47768225,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-28,8.39924876,2.01691672,6.95978055,1.935892,6.7754157728,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-18,4.70064025,2.21233376,7.10844029,1.58738276666666,3.543767274,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-26,4.32948,1.98744,4.8219264,2.42261505,3.82526211,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,8.35548,3.863811,8.55672,1.80336,4.4244,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-08-30,2.62154,1.85859,3.3680925,1.53652,2.0704086,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,4.1995956,1.7688216,4.773707136,2.083448943,4.5138092898,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,6.17265,3.31992,9.90522,2.24655,4.393683,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-26,9.8658,2.329155,4.90374,1.848015,3.05175037,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,9.2808,4.56399,5.41989,3.7191,5.25820188,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,8.322888,4.49904,6.60804,3.80754,4.00869,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-01-24,4.6567224,1.873772348,4.93895793031,1.671882912,4.4253846,55.8,58.4,5.0,6.8,11.7,17.1,70.3,53.6,0.18
2022-02-20,5.4563616,1.392436332,4.431214592,1.272406464,4.03201735552,40.9,43.1,5.2,11.3,19.4,28.7,46.4,40.1,1.8
2022-03-30,7.16965551,1.625015136,5.5617072,1.785285,5.54284243968,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,4.92397815,1.856255616,7.686008,1.9694976,4.388128605,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,9.239173636,2.1379317232,6.7509871335,2.20691688,5.962365880064,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,4.8416594575,2.1238404096,7.2506090958,1.69849956033333,2.87045149194,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,3.8532372,2.3054304,5.400557568,2.0592227925,4.207788321,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,8.6061444,4.59793509,8.8989888,1.6590912,5.132304,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,2.4380322,1.6913169,3.83962545,1.843824,2.38096989,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,4.82953494,1.645004088,5.2510778496,2.5001387316,4.468671196902,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-06-16,6.1109235,2.9215296,10.6976376,2.336412,3.91037787,78.8,81.2,4.9,4.5,11.7,0.0,87.8,73.6,0.14
2022-09-04,7.991298,2.6552367,5.5902636,1.94041575,2.9601978589,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-21,8.35272,5.0660289,5.3656911,3.421572,6.309842256,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,7.40737032,4.9039536,7.0706028,3.5790876,4.810428,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,6.9327576,4.05282312,5.526661833,3.01098336,7.50871228464,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,6.0740436624,4.315479168,5.797894296,3.149597088,4.23317664,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,6.5925595848,5.198190816,6.929190744,3.328551468,4.47369804,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2022-12-01,5.180575619525,1.996409985024,6.88807864101,1.93628949878,2.4111792532296,43.0,50.8,6.7,12.5,17.5,0.0,63.9,46.0,0.0
2023-01-04,3.814704828,2.19015888,5.9406133248,1.667970461925,4.96519021878,51.6,59.9,6.6,3.6,7.8,0.0,66.7,51.4,0.0
2023-02-18,8.631144,4.1988708,5.0946966,3.384381,4.9427097672,60.5,71.2,5.8,3.2,7.8,0.0,82.4,53.4,0.0
2023-03-30,7.57382808,4.2290976,5.947236,3.617163,3.6479079,63.1,63.5,4.4,4.0,7.8,0.0,66.2,59.7,1.18
2023-04-07,4.377319056,1.72387056016,4.6920100337945,1.5046946208,4.115607678,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-11,5.128979904,1.26711706212,4.2096538624,1.15788988224,3.628815619968,70.2,75.9,6.6,3.3,7.8,0.0,82.4,63.3,0.0
2023-04-17,6.8111727345,1.5437643792,5.228004768,1.6067565,5.0994150445056,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,4.5792996795,1.7634428352,6.99426728,1.792242816,4.16872217475,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,8.59243148148,1.966897185344,6.278418034155,1.986225192,5.3661292920576,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,4.502743295475,1.91145636864,6.670560368136,1.59658958671333,2.583406342746,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
