Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,11.824,4.326,10.47,4.121,6.27666312503579,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
2019-07-11,11.454,4.299,16.342,1.447,6.27666312503579,76.2,80.6,4.8,3.4,7.8,0.0,93.2,75.9,1.3
2019-07-23,6.457,2.317,6.585,2.219,6.27666312503579,76.5,81.5,5.3,4.0,7.8,13.6,87.8,74.8,0.31
2019-08-07,13.245,4.994,12.387,5.091,6.27666312503579,75.9,86.0,5.3,3.3,25.3,44.7,96.8,74.3,0.06
2019-08-19,3.55,2.328,3.945,1.447,6.27666312503579,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,3.568,2.388,3.16,2.533,6.27666312503579,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,2.604,1.967,3.166,1.808,6.27666312503579,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-10-10,2.2,1.325,1.917,1.853,6.27666312503579,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,2.088,1.451,2.099,1.015,6.27666312503579,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,2.346,1.224,1.853,0.859,6.27666312503579,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,1.445,0.858,2.126,0.967,6.27666312503579,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,2.249,1.122,1.785,0.469,6.27666312503579,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-05-27,11.584,4.641,9.817,5.463,7.70646,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,15.312,5.408,13.608,5.192,12.96882,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,18.519,5.513,18.19,5.412,12.07526,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,15.908,6.559,13.014,5.824,10.84428,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,14.031,6.648,9.815,4.647,6.66822,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,7.301,3.446,6.007,2.341,5.7611,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-10,3.578,1.68,3.825,1.821,1.5369,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0.0
2020-09-24,7.34,3.957,7.554,2.521,4.80675,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,15.00576,4.056,13.47192,4.25744,11.909898,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,13.70406,5.18222,17.0986,4.6002,14.3176077,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,13.83996,4.85366,11.84274,4.9504,14.432264,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,13.32945,5.58432,8.4409,3.34584,4.246944,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,5.76779,3.20478,5.64658,2.20054,3.786021,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,5.3582,3.00732,6.87414,2.521,5.18466,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-01-14,2.54038,1.344,3.519,1.58427,1.682415,32.2,57.3,5.5,2.7,5.8,0.0,71.6,36.1,0.0
2021-04-28,6.13581784343434,2.14555432727273,4.84600739393939,1.38359577,4.10604104,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,13.031819,3.238498368,12.857442768,2.67489511,8.94531726816,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,8.48130909090909,2.37774545454545,6.56414814814815,1.66579393939394,5.30399,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-02,10.542928448,1.6796646,6.08168778,2.254707,8.24614252416,76.0,78.0,5.3,5.1,9.7,15.7,86.2,74.8,0.78
2021-06-09,7.503180672,1.906482744,10.0433763,2.88169466,6.9804512734,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,7.063314,1.97746941,9.19617424,2.632708542,6.16339560928,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,10.846328928,1.468406758,8.752404975,3.171615648,3.9683554218,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-07-14,7.003910352,2.18044232,5.485564656,2.000793941,4.13112261824,76.6,91.1,6.7,4.1,7.8,17.5,98.6,78.1,0.0
2021-08-15,5.0313706288,1.9739099836,3.9737260598,1.2867440661,3.90073895,77.9,82.4,6.7,5.1,13.6,0.0,89.6,77.0,0.73
2021-08-30,10.55577339,3.2708833537,10.92882638,2.1666650391,9.66094236,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,7.633178181,2.3539679955,6.6297896315,1.6491360006,4.9327107,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,8.96148914,1.780444476,5.777603391,1.8037656,7.75137442,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,8.0284033169,2.001806877,9.842508774,3.1410471794,7.25966904,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-18,6.85141458,2.1158922687,9.655982952,2.4747460276,6.4715658,60.5,73.3,6.7,5.6,9.7,14.8,80.6,60.8,0.0
