Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,11.824,4.326,10.47,4.121,6.27666312503579,0.9170243204577967,0.8601941747572818,0.573170731707317,0.3137254901960784,0.1993127147766323,0.009796000807917591,0.8125,0.9063745019920318,0.0003000300030003001
2019-07-11,11.454,4.299,16.342,1.447,6.27666312503579,0.9241773962804004,0.7281553398058253,0.3902439024390243,0.1045751633986928,0.134020618556701,0.9999999999999999,0.8125,0.8346613545816733,0.013001300130013
2019-07-23,6.457,2.317,6.585,2.219,6.27666312503579,0.9284692417739627,0.7456310679611652,0.4512195121951219,0.1437908496732026,0.134020618556701,0.003938598262977176,0.71875,0.8127490039840638,0.0031003100310031
2019-08-07,13.245,4.994,12.387,5.091,6.27666312503579,0.9198855507868383,0.8330097087378642,0.4512195121951219,0.09803921568627451,0.7353951890034364,0.03534639466774389,0.875,0.802788844621514,0.0006000600060006001
2019-08-19,3.55,2.328,3.945,1.447,6.27666312503579,0.9356223175965664,0.8233009708737865,0.3780487804878049,0.09150326797385623,0.4673539518900344,0.9999999999999999,0.8125,0.8665338645418327,0.0004000400040004001
2019-08-27,3.568,2.388,3.16,2.533,6.27666312503579,0.9370529327610871,0.8135922330097088,0.4878048780487804,0.09150326797385623,0.134020618556701,0.9999999999999999,0.7812500000000002,0.8565737051792829,0.0012001200120012
2019-09-03,2.604,1.967,3.166,1.808,6.27666312503579,0.8755364806866951,0.7805825242718446,0.5975609756097561,0.3725490196078431,0.3333333333333333,0.007877196525954354,0.75,0.7988047808764939,0.003900390039003901
2019-10-10,2.2,1.325,1.917,1.853,6.27666312503579,0.854077253218884,0.7883495145631069,0.2439024390243902,0.07189542483660129,0.06529209621993126,0.9999999999999999,0.75,0.7768924302788845,0.0
2019-11-18,2.088,1.451,2.099,1.015,6.27666312503579,0.5679542203147352,0.4912621359223303,0.548780487804878,0.7712418300653595,0.5326460481099655,0.0157543930519087,0.5625,0.4442231075697211,0.0
2019-12-10,2.346,1.224,1.853,0.859,6.27666312503579,0.390557939914163,0.3495145631067963,0.524390243902439,0.04575163398692809,0.06529209621993126,0.9999999999999999,0.4687500000000002,0.2191235059760956,0.0
2019-12-18,1.445,0.858,2.126,0.967,6.27666312503579,0.669527896995708,0.5747572815533982,0.2682926829268292,0.2941176470588235,0.3333333333333333,0.9999999999999999,0.671875,0.4980079681274902,0.0021002100210021
2019-12-25,2.249,1.122,1.785,0.469,6.27666312503579,0.6680972818311873,0.4582524271844662,0.1219512195121951,0.06535947712418298,0.06529209621993126,0.003938598262977176,0.5,0.4521912350597611,0.0
2020-05-27,11.584,4.641,9.817,5.463,7.70646,0.8125894134477826,0.7048543689320391,0.548780487804878,0.2418300653594771,0.2405498281786941,0.006867299535447386,0.8090277777777779,0.7808764940239045,0.003800380038003801
2020-06-02,15.312,5.408,13.608,5.192,12.96882,0.8884120171673818,0.7184466019417476,0.524390243902439,0.196078431372549,0.268041237113402,0.007877196525954354,0.6961805555555556,0.838645418326693,0.0004000400040004001
2020-06-09,18.519,5.513,18.19,5.412,12.07526,0.8941344778254648,0.6796116504854369,0.3902439024390243,0.1830065359477124,0.3333333333333333,0.0157543930519087,0.6875,0.7848605577689244,0.007500750075007501
2020-06-18,15.908,6.559,13.014,5.824,10.84428,0.9055793991416309,0.8174757281553399,0.6097560975609755,0.2483660130718954,0.3608247422680412,0.01888507372248031,0.8125,0.8306772908366534,0.0001000100010001
2020-06-29,14.031,6.648,9.815,4.647,6.66822,0.8969957081545062,0.8815533980582525,0.5975609756097561,0.2026143790849673,0.2920962199312715,0.007877196525954354,0.875,0.900398406374502,0.0
2020-07-14,7.301,3.446,6.007,2.341,5.7611,0.871244635193133,0.9553398058252428,0.5975609756097561,0.1895424836601307,0.1993127147766323,0.01181579478893153,0.9375000000000002,0.8924302788844621,0.0
2020-08-10,3.578,1.68,3.825,1.821,1.5369,0.8812589413447781,0.9048543689320391,0.6219512195121951,0.2483660130718954,0.2268041237113402,0.007069278933548776,0.8993055555555556,0.9322709163346613,0.0
2020-09-24,7.34,3.957,7.554,2.521,4.80675,0.7896995708154505,0.6737864077669903,0.6219512195121951,0.2810457516339869,0.268041237113402,0.007069278933548776,0.7586805555555556,0.7749003984063746,0.0001000100010001
2020-10-08,15.00576,4.056,13.47192,4.25744,11.909898,0.6638054363376251,0.5825242718446603,0.6219512195121951,0.5947712418300654,0.3986254295532645,0.01353261967279338,0.5625,0.6812749003984065,0.0
2020-10-25,13.70406,5.18222,17.0986,4.6002,14.3176077,0.6208869814020028,0.6233009708737866,0.6219512195121951,0.09803921568627451,0.07903780068728525,0.002120783680064634,0.6250000000000002,0.5876494023904383,0.0
2020-11-13,13.83996,4.85366,11.84274,4.9504,14.432264,0.5250357653791129,0.6310679611650486,0.6097560975609755,0.5032679738562091,0.3986254295532645,0.007675217127852961,0.6250000000000002,0.4900398406374503,0.0
2020-11-27,13.32945,5.58432,8.4409,3.34584,4.246944,0.580829756795422,0.4427184466019419,0.6219512195121951,0.7124183006535948,0.3986254295532645,0.01181579478893153,0.6163194444444446,0.4661354581673306,0.0
2020-12-11,5.76779,3.20478,5.64658,2.20054,3.786021,0.636623748211731,0.4990291262135923,0.5853658536585366,0.3202614379084968,0.268041237113402,0.006261361341143206,0.5225694444444444,0.5697211155378487,0.0001000100010001
2020-12-29,5.3582,3.00732,6.87414,2.521,5.18466,0.5679542203147352,0.4466019417475727,0.4390243902439024,0.5424836601307189,0.7353951890034364,0.03100383760856392,0.59375,0.3187250996015937,0.0
2021-01-14,2.54038,1.344,3.519,1.58427,1.682415,0.2947067238912732,0.2757281553398058,0.475609756097561,0.05882352941176471,0.06529209621993126,0.9999999999999999,0.4375,0.04183266932270924,0.0
2021-04-28,6.13581784343434,2.14555432727273,4.84600739393939,1.38359577,4.10604104,0.7725321888412016,0.50873786407767,0.3902439024390243,0.3660130718954249,0.268041237113402,0.005554433447788325,0.4565972222222223,0.6235059760956175,0.005000500050005001
2021-05-07,13.031819,3.238498368,12.857442768,2.67489511,8.94531726816,0.8927038626609441,0.8097087378640778,0.5121951219512194,0.2091503267973856,0.1993127147766323,0.002726721874368815,0.8125,0.7669322709163348,0.0
