File,Dependent Variable,R-squared,MAE,MSE,RMSE
Water_sample_runoff_citrus_Total_Phosphorus.csv,NPK,0.064,0.147,0.035,0.187
Water_sample_runoff_citrus_Total_Phosphorus.csv,PK,0.261,0.186,0.046,0.214
Water_sample_runoff_citrus_Total_Phosphorus.csv,NK,0.049,0.035,0.002,0.045
Water_sample_runoff_citrus_Total_Phosphorus.csv,CK,0.124,0.051,0.004,0.063
Water_sample_runoff_citrus_Total_Phosphorus.csv,OF,0.167,0.118,0.021,0.145
Water_sample_runoff_corn_Total_Phosphorus.csv,NPK,0.353,0.165,0.045,0.212
Water_sample_runoff_corn_Total_Phosphorus.csv,PK,0.306,0.148,0.034,0.184
Water_sample_runoff_corn_Total_Phosphorus.csv,NK,0.411,0.03,0.002,0.045
Water_sample_runoff_corn_Total_Phosphorus.csv,CK,0.326,0.04,0.002,0.045
Water_sample_runoff_corn_Total_Phosphorus.csv,OF,0.27,0.109,0.02,0.141
Water_sample_runoff_rice_Total_Phosphorus.csv,NPK,0.141,0.281,0.098,0.313
Water_sample_runoff_rice_Total_Phosphorus.csv,PK,0.131,0.286,0.106,0.326
Water_sample_runoff_rice_Total_Phosphorus.csv,NK,0.102,0.027,0.001,0.032
Water_sample_runoff_rice_Total_Phosphorus.csv,CK,0.105,0.038,0.002,0.045
Water_sample_runoff_rice_Total_Phosphorus.csv,OF,0.098,0.184,0.067,0.259
Water_sample_runoff_vegetable_Total_Phosphorus.csv,NPK,0.132,0.169,0.051,0.226
Water_sample_runoff_vegetable_Total_Phosphorus.csv,PK,0.167,0.196,0.071,0.266
Water_sample_runoff_vegetable_Total_Phosphorus.csv,NK,0.231,0.033,0.002,0.045
Water_sample_runoff_vegetable_Total_Phosphorus.csv,CK,0.322,0.039,0.005,0.071
Water_sample_runoff_vegetable_Total_Phosphorus.csv,OF,0.201,0.083,0.011,0.105
