File,Dependent Variable,R-squared,Adjusted R-squared
Water_sample_runoff_citrus_Total_Phosphorus.csv,NPK,0.064,-0.092
Water_sample_runoff_citrus_Total_Phosphorus.csv,PK,0.261,0.137
Water_sample_runoff_citrus_Total_Phosphorus.csv,NK,0.049,-0.109
Water_sample_runoff_citrus_Total_Phosphorus.csv,CK,0.124,-0.022
Water_sample_runoff_citrus_Total_Phosphorus.csv,OF,0.167,0.029
Water_sample_runoff_corn_Total_Phosphorus.csv,NPK,0.353,0.24
Water_sample_runoff_corn_Total_Phosphorus.csv,PK,0.306,0.186
Water_sample_runoff_corn_Total_Phosphorus.csv,NK,0.411,0.308
Water_sample_runoff_corn_Total_Phosphorus.csv,CK,0.326,0.209
Water_sample_runoff_corn_Total_Phosphorus.csv,OF,0.27,0.143
Water_sample_runoff_rice_Total_Phosphorus.csv,NPK,0.141,-0.008
Water_sample_runoff_rice_Total_Phosphorus.csv,PK,0.131,-0.02
Water_sample_runoff_rice_Total_Phosphorus.csv,NK,0.102,-0.055
Water_sample_runoff_rice_Total_Phosphorus.csv,CK,0.105,-0.051
Water_sample_runoff_rice_Total_Phosphorus.csv,OF,0.098,-0.059
Water_sample_runoff_vegetable_Total_Phosphorus.csv,NPK,0.132,-0.047
Water_sample_runoff_vegetable_Total_Phosphorus.csv,PK,0.167,-0.004
Water_sample_runoff_vegetable_Total_Phosphorus.csv,NK,0.231,0.073
Water_sample_runoff_vegetable_Total_Phosphorus.csv,CK,0.322,0.183
Water_sample_runoff_vegetable_Total_Phosphorus.csv,OF,0.201,0.037
