File,Dependent Variable,R-squared,Adjusted R-squared
Water_sample_runoff_citrus_Total_Phosphorus.csv,NPK,0.053,-0.129
Water_sample_runoff_citrus_Total_Phosphorus.csv,PK,0.251,0.108
Water_sample_runoff_citrus_Total_Phosphorus.csv,NK,0.048,-0.135
Water_sample_runoff_citrus_Total_Phosphorus.csv,CK,0.133,-0.033
Water_sample_runoff_citrus_Total_Phosphorus.csv,OF,0.174,0.016
Water_sample_runoff_corn_Total_Phosphorus.csv,NPK,0.374,0.249
Water_sample_runoff_corn_Total_Phosphorus.csv,PK,0.338,0.206
Water_sample_runoff_corn_Total_Phosphorus.csv,NK,0.409,0.291
Water_sample_runoff_corn_Total_Phosphorus.csv,CK,0.362,0.234
Water_sample_runoff_corn_Total_Phosphorus.csv,OF,0.289,0.146
Water_sample_runoff_rice_Total_Phosphorus.csv,NPK,0.171,0.005
Water_sample_runoff_rice_Total_Phosphorus.csv,PK,0.179,0.014
Water_sample_runoff_rice_Total_Phosphorus.csv,NK,0.132,-0.042
Water_sample_runoff_rice_Total_Phosphorus.csv,CK,0.134,-0.039
Water_sample_runoff_rice_Total_Phosphorus.csv,OF,0.108,-0.07
Water_sample_runoff_vegetable_Total_Phosphorus.csv,NPK,0.251,0.073
Water_sample_runoff_vegetable_Total_Phosphorus.csv,PK,0.281,0.11
Water_sample_runoff_vegetable_Total_Phosphorus.csv,NK,0.23,0.047
Water_sample_runoff_vegetable_Total_Phosphorus.csv,CK,0.327,0.167
Water_sample_runoff_vegetable_Total_Phosphorus.csv,OF,0.212,0.025
