Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-12-09,0.2432,0.2692,0.172896,0.12696,0.226548,35.0,59.8,6.3,2.5,6.0,9.7,69.8,44.1,0.0
2019-12-24,0.6296,0.6966,0.15296,0.11296,0.569208,56.7,63.7,4.5,4.8,9.7,12.4,74.1,57.2,0.0
2020-01-04,0.778,0.75236,0.16276,0.0768,0.58026,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-02-06,0.6108,0.663,0.13698,0.12636,0.497776,55.3,61.9,5.4,2.7,5.8,13.8,66.2,55.4,0.0
2020-03-08,0.9696,0.8972,0.1522,0.15296,0.56844,66.4,74.3,5.9,9.5,15.5,26.2,77.0,65.5,0.0
2020-06-10,0.6316,0.61686,0.167,0.10696,0.586816,75.2,82.6,5.7,3.3,11.7,24.5,91.6,73.9,0.32
2020-07-11,0.7692,0.8366,0.1368,0.12972,0.452452,74.2,88.4,6.7,9.5,13.6,22.9,96.8,82.4,0.0
2020-08-26,0.7096,0.5692,0.2166,0.1886,0.24408,74.2,83.8,6.1,4.2,13.6,21.0,96.8,75.2,2.15
2020-09-24,0.5054,0.6972,0.219,0.2312,0.467884,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-18,0.84,0.5624,0.2872,0.2424,0.278784,57.1,73.1,6.7,11.1,15.5,20.8,80.6,64.9,0.0
2020-11-12,0.8708,0.816926,0.18876,0.2086,0.397072,44.9,72.7,6.7,8.5,15.5,16.3,82.4,55.2,0.0
2020-12-14,0.883,0.7686,0.1896,0.17296,0.529356,45.8,51.6,6.6,13.4,17.5,22.9,72.5,44.6,0.03
2021-01-26,0.846666666666667,0.97,0.18,0.15,0.174,51.9,67.0,5.8,7.6,13.6,17.9,79.0,58.6,0.0
2021-02-24,0.46,0.466666666666667,0.16,0.18,0.189,60.1,72.2,6.1,5.9,15.5,0.0,85.5,59.2,0.0
2021-03-21,0.46,0.42,0.2,0.24,0.2376,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-28,0.992712,0.75974118,0.1830972,0.248234,0.42486704,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-18,0.83002,0.783972,0.221832,0.2006336,0.52406244,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-26,0.574756,0.524331,0.17034,0.0887768,0.68657472,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,0.646128,0.995554,0.138168,0.1439892,0.43887844,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-08-30,0.581872,0.580584,0.192774,0.192372,0.2758104,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,0.5815152,0.96568738,0.13954968,0.168467364,0.4915438528,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,0.42959,0.669312,0.21681,0.272816,0.41641676,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-26,0.966,0.50616,0.336024,0.283608,0.2230272,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,0.731472,0.67804858,0.1566708,0.179396,0.32956976,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,0.75055,0.630252,0.176328,0.1487456,0.42877836,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-01-24,0.74506696,0.8342,0.1566,0.1395,0.15138,55.8,58.4,5.0,6.8,11.7,17.1,70.3,53.6,0.18
2022-02-20,0.6858,0.9603,0.1998,0.1545,0.18444,40.9,43.1,5.2,11.3,19.4,28.7,46.4,40.1,1.8
2022-03-30,0.5014,0.42,0.1888,0.1512,0.1701,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,0.5106,0.4452,0.216,0.276,0.263736,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.97285776,0.75974118,0.162956508,0.248234,0.4206183696,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,0.7968192,0.81533088,0.19077552,0.23072864,0.628874928,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,0.52877552,0.4718979,0.187374,0.09321564,0.6728432256,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.69781824,0.96568738,0.12573288,0.138229632,0.4081569492,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,0.51786608,0.62122488,0.17542434,0.16928736,0.286842816,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.657112176,0.96568738,0.1130352408,0.1853141004,0.535782799552,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-06-16,0.4124064,0.54214272,0.1972971,0.272816,0.4622226036,78.8,81.2,4.9,4.5,11.7,0.0,87.8,73.6,0.14
2022-09-04,0.9177,0.5618376,0.38306736,0.27509976,0.229718016,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-21,0.690506,0.67436964,0.17456472,0.147258144,0.4159150092,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.68489568,0.85617644,0.16303824,0.125270604,0.4301008712,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,0.6400592,0.58638984,0.16193016,0.1731348,0.228922632,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.52336368,0.5008836132,0.1549001448,0.13814323848,0.447304906048,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.4596613,0.62246016,0.2298186,0.30282576,0.4289092628,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2022-12-01,0.630936,0.912285,0.233766,0.12669,0.2194836,43.0,50.8,6.7,12.5,17.5,0.0,63.9,46.0,0.0
2023-01-04,0.461288,0.3696,0.21712,0.155736,0.147987,51.6,59.9,6.6,3.6,7.8,0.0,66.7,51.4,0.0
2023-02-18,0.6948984,0.6305851794,0.144137136,0.16683828,0.3032041792,60.5,71.2,5.8,3.2,7.8,0.0,82.4,53.4,0.0
2023-03-30,0.6830005,0.57983184,0.16222176,0.14130832,0.4030516584,63.1,63.5,4.4,4.0,7.8,0.0,66.2,59.7,1.18
2023-04-07,0.7003629424,0.79249,0.142506,0.132525,0.136242,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-11,0.65151,0.912285,0.185814,0.143685,0.165996,70.2,75.9,6.6,3.3,7.8,0.0,82.4,63.3,0.0
2023-04-17,0.471316,0.3948,0.17936,0.13608,0.156492,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,0.474858,0.414036,0.19872,0.2622,0.24527448,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.8950291392,0.6913644738,0.14829042228,0.2234106,0.37855653264,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.725105472,0.7501044096,0.1774212336,0.219192208,0.57227618448,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,0.5076244992,0.467178921,0.18362652,0.0913513272,0.60555890304,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.6559491456,0.917403011,0.1232182224,0.13684733568,0.379585962756,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-28,0.466079472,0.590163636,0.1719158532,0.1591301184,0.28110595968,78.1,83.7,6.7,4.9,11.7,21.4,92.7,77.0,0.07
2023-07-21,0.61111432368,0.869118642,0.102862069128,0.177901536384,0.5089936595744,77.3,89.3,6.7,4.5,7.8,13.6,96.8,77.4,0.0
2023-08-16,0.375289824,0.4987713024,0.187432245,0.25371888,0.41600034324,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,0.844284,0.522508968,0.3600833184,0.2585937744,0.21363775488,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,0.64907564,0.640651158,0.1588538952,0.1325323296,0.386800958556,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,0.6369529824,0.770558796,0.1532559456,0.11650166172,0.40859582764,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,0.588854464,0.5394786528,0.1505950488,0.15582132,0.2060303688,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,0.4762609488,0.45079525188,0.142508133216,0.1270917794016,0.4025744154432,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,0.41369517,0.5664387456,0.213731298,0.2846562144,0.40746379966,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,0.5678424,0.84842505,0.21272706,0.1152879,0.199730076,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
