Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-11-18,0.811,0.88,0.16,0.288,0.1930199422855293,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,0.757,1.125,0.221,0.254,0.1930199422855293,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2019-12-18,0.171,0.191,0.111,0.074,0.1930199422855293,58.4,72.7,3.8,6.3,13.6,0.0,85.1,59.0,0.21
2019-12-25,0.162,0.107,0.063,0.108,0.1930199422855293,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0.0
2020-01-04,0.266,0.115,0.073,0.091,0.1930199422855293,56.2,69.1,2.5,1.9,3.9,0.0,79.3,53.6,0.0
2020-06-09,0.4542,0.675,0.057185,0.07319,0.224,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-19,0.4866,0.528,0.0776,0.08968,0.219351,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79.0,0.0
2020-06-29,0.4096,0.469,0.035405,0.044135,0.08096,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-10,0.1026,0.2146,0.053835,0.03589,0.134937,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0.0
2020-07-20,0.0972,0.1642,0.030555,0.05238,0.080223,72.9,89.0,6.7,6.6,9.7,19.0,96.8,81.9,0.0
2020-09-20,0.52233,0.54675,0.0514665,0.0856323,0.298704,75.0,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
2020-09-30,0.447672,0.57552,0.08148,0.080712,0.22760892,71.2,78.2,5.4,4.7,13.6,23.3,87.8,73.4,0.02
2020-10-10,0.483328,0.5628,0.03717525,0.06399575,0.07345536,60.0,77.2,6.6,4.9,9.7,16.5,86.0,66.6,0.0
2020-10-21,0.077976,0.152366,0.05329665,0.0351722,0.163431675,55.0,72.4,6.7,12.0,17.5,28.6,79.5,65.5,0.0
2020-10-30,0.13608,0.119866,0.0433881,0.0534276,0.10495056,62.5,73.5,4.6,3.3,9.7,16.7,78.8,66.6,0.0
