Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,0.106,0.063,0.038,0.019,0.23169553867178436,0.9170243204577967,0.8601941747572818,0.573170731707317,0.3137254901960784,0.1993127147766323,0.009796000807917591,0.8125,0.9063745019920318,0.0003000300030003001
2019-07-11,0.115,0.05,0.071,0.088,0.23169553867178436,0.9241773962804004,0.7281553398058253,0.3902439024390243,0.1045751633986928,0.134020618556701,0.9999999999999999,0.8125,0.8346613545816733,0.013001300130013
2019-07-23,0.052,0.053,0.028,0.027,0.23169553867178436,0.9284692417739627,0.7456310679611652,0.4512195121951219,0.1437908496732026,0.134020618556701,0.003938598262977176,0.71875,0.8127490039840638,0.0031003100310031
2019-08-07,0.251,0.429,0.038,0.083,0.23169553867178436,0.9198855507868383,0.8330097087378642,0.4512195121951219,0.09803921568627451,0.7353951890034364,0.03534639466774389,0.875,0.802788844621514,0.0006000600060006001
2019-08-19,0.221,0.194,0.068,0.045,0.23169553867178436,0.9356223175965664,0.8233009708737865,0.3780487804878049,0.09150326797385623,0.4673539518900344,0.9999999999999999,0.8125,0.8665338645418327,0.0004000400040004001
2019-08-27,0.465,0.394,0.159,0.117,0.23169553867178436,0.9370529327610871,0.8135922330097088,0.4878048780487804,0.09150326797385623,0.134020618556701,0.9999999999999999,0.7812500000000002,0.8565737051792829,0.0012001200120012
2019-09-03,0.35,0.419,0.175,0.143,0.23169553867178436,0.8755364806866951,0.7805825242718446,0.5975609756097561,0.3725490196078431,0.3333333333333333,0.007877196525954354,0.75,0.7988047808764939,0.003900390039003901
2019-10-10,0.321,0.309,0.133,0.132,0.23169553867178436,0.854077253218884,0.7883495145631069,0.2439024390243902,0.07189542483660129,0.06529209621993126,0.9999999999999999,0.75,0.7768924302788845,0.0
2019-11-18,0.061,0.059,0.05,0.043,0.23169553867178436,0.5679542203147352,0.4912621359223303,0.548780487804878,0.7712418300653595,0.5326460481099655,0.0157543930519087,0.5625,0.4442231075697211,0.0
2019-12-10,0.036,0.039,0.038,0.035,0.23169553867178436,0.390557939914163,0.3495145631067963,0.524390243902439,0.04575163398692809,0.06529209621993126,0.9999999999999999,0.4687500000000002,0.2191235059760956,0.0
2019-12-18,0.188,0.083,0.081,0.036,0.23169553867178436,0.669527896995708,0.5747572815533982,0.2682926829268292,0.2941176470588235,0.3333333333333333,0.9999999999999999,0.671875,0.4980079681274902,0.0021002100210021
2019-12-25,0.084,0.084,0.034,0.031,0.23169553867178436,0.6680972818311873,0.4582524271844662,0.1219512195121951,0.06535947712418298,0.06529209621993126,0.003938598262977176,0.5,0.4521912350597611,0.0
2020-05-27,0.937,0.775,0.118,0.138,0.67009,0.8125894134477826,0.7048543689320391,0.548780487804878,0.2418300653594771,0.2405498281786941,0.006867299535447386,0.8090277777777779,0.7808764940239045,0.003800380038003801
2020-06-02,0.612,0.417,0.149,0.072,0.32368,0.8884120171673818,0.7184466019417476,0.524390243902439,0.196078431372549,0.268041237113402,0.007877196525954354,0.6961805555555556,0.838645418326693,0.0004000400040004001
