Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-19,0.135,0.108,0.062,0.035,0.27060837319841263,0.9356223175965664,0.8233009708737865,0.3780487804878049,0.09150326797385623,0.4673539518900344,0.9999999999999999,0.8125,0.8665338645418327,0.0004000400040004001
2019-08-27,0.056,0.068,0.026,0.02,0.27060837319841263,0.9370529327610871,0.8135922330097088,0.4878048780487804,0.09150326797385623,0.134020618556701,0.9999999999999999,0.7812500000000002,0.8565737051792829,0.0012001200120012
2019-09-03,0.059,0.137,0.034,0.032,0.27060837319841263,0.8755364806866951,0.7805825242718446,0.5975609756097561,0.3725490196078431,0.3333333333333333,0.007877196525954354,0.75,0.7988047808764939,0.003900390039003901
2019-09-18,0.073,0.065,0.031,0.026,0.27060837319841263,0.8111587982832617,0.8466019417475731,0.5853658536585366,0.4509803921568627,0.3333333333333333,0.009796000807917591,0.8125,0.8247011952191236,0.0015001500150015
2019-10-10,0.025,0.068,0.043,0.027,0.27060837319841263,0.854077253218884,0.7883495145631069,0.2439024390243902,0.07189542483660129,0.06529209621993126,0.9999999999999999,0.75,0.7768924302788845,0.0
2019-11-18,0.157,0.206,0.033,0.015,0.27060837319841263,0.5679542203147352,0.4912621359223303,0.548780487804878,0.7712418300653595,0.5326460481099655,0.0157543930519087,0.5625,0.4442231075697211,0.0
2020-04-07,0.773,0.831,0.079,0.042,0.75936,0.6323319027181686,0.4407766990291263,0.5609756097560975,0.04575163398692809,0.09965635738831616,0.002726721874368815,0.4618055555555556,0.4661354581673306,0.0
2020-04-13,0.114,0.093,0.021,0.009,0.0588,0.390557939914163,0.4873786407766992,0.6097560975609755,0.1241830065359477,0.1718213058419244,0.009190062613613414,0.515625,0.2609561752988049,0.0
2020-04-23,0.205,0.229,0.056,0.04,0.14178,0.6380543633762518,0.4174757281553397,0.573170731707317,0.3660130718954249,0.268041237113402,0.00727125833165017,0.375,0.5418326693227092,0.0001000100010001
2020-05-27,0.833,0.689,0.139,0.072,0.63845,0.8125894134477826,0.7048543689320391,0.548780487804878,0.2418300653594771,0.2405498281786941,0.006867299535447386,0.8090277777777779,0.7808764940239045,0.003800380038003801
2020-06-02,0.473,0.387,0.064,0.058,0.18564,0.8884120171673818,0.7184466019417476,0.524390243902439,0.196078431372549,0.268041237113402,0.007877196525954354,0.6961805555555556,0.838645418326693,0.0004000400040004001
2020-06-09,0.46,0.402,0.129,0.1,0.27495,0.8941344778254648,0.6796116504854369,0.3902439024390243,0.1830065359477124,0.3333333333333333,0.0157543930519087,0.6875,0.7848605577689244,0.007500750075007501
