Date,Dew Point Temperature (C),Average Temperature (C),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (C),Minimum Temperature (C),Precipitation (in)
1/1/19,3.8333333333333326,9.11111111111111,5.9,9.1,13.6,19.4,11.222222222222223,6.500000000000002,0.0
1/2/19,5.7222222222222205,8.722222222222223,5.7,7.8,11.7,999.9,10.88888888888889,7.000000000000001,0.0
1/3/19,7.777777777777778,13.499999999999998,5.8,4.7,9.7,999.9,16.0,8.38888888888889,0.01
1/4/19,12.388888888888888,14.666666666666666,3.1,2.5,7.8,999.9,16.77777777777778,12.0,0.02
1/5/19,10.555555555555555,13.722222222222223,4.5,7.2,11.7,999.9,16.38888888888889,10.999999999999998,0.0
1/6/19,9.666666666666666,13.166666666666668,5.3,4.4,9.7,999.9,15.88888888888889,11.277777777777777,0.0
1/7/19,11.61111111111111,15.11111111111111,3.6,4.7,9.7,15.5,18.111111111111107,12.777777777777779,0.0
1/8/19,8.555555555555555,13.555555555555555,6.5,7.6,11.7,999.9,16.11111111111111,11.277777777777777,0.05
1/9/19,9.611111111111109,14.555555555555555,5.0,5.3,9.7,999.9,19.388888888888893,11.222222222222223,0.04
1/10/19,12.055555555555557,16.72222222222222,3.6,3.9,5.8,999.9,21.27777777777778,12.888888888888891,0.0
1/11/19,13.499999999999998,18.000000000000004,2.8,4.6,7.8,17.5,23.000000000000004,15.0,0.0
1/12/19,12.722222222222221,17.5,5.1,3.6,7.8,999.9,21.0,14.61111111111111,0.0
1/13/19,13.11111111111111,18.055555555555557,4.2,3.8,9.7,999.9,21.38888888888889,15.277777777777779,0.0
1/14/19,13.333333333333334,19.0,4.1,4.0,9.7,999.9,23.000000000000004,15.61111111111111,0.0
1/15/19,9.722222222222221,16.0,5.4,10.0,13.6,999.9,20.500000000000004,12.0,0.0
1/16/19,5.777777777777777,13.055555555555555,6.4,9.2,15.5,999.9,15.0,10.999999999999998,0.0
1/17/19,5.444444444444443,13.722222222222223,6.2,6.9,13.6,999.9,19.0,8.88888888888889,0.0
1/18/19,7.944444444444443,15.222222222222221,5.4,3.2,5.8,999.9,18.22222222222222,8.38888888888889,0.0
1/19/19,12.222222222222221,18.944444444444443,3.9,3.2,5.8,999.9,24.0,14.38888888888889,0.0
1/20/19,9.444444444444445,16.61111111111111,5.1,10.0,19.4,21.4,24.388888888888893,12.0,0.0
1/21/19,4.222222222222223,13.555555555555555,5.3,9.7,15.5,19.4,18.000000000000004,8.777777777777777,0.0
1/22/19,1.3888888888888888,13.38888888888889,5.3,6.7,13.6,999.9,19.0,7.88888888888889,0.0
1/23/19,1.7777777777777795,15.0,5.6,3.2,7.8,999.9,21.0,6.111111111111111,0.0
1/24/19,5.888888888888889,16.444444444444443,5.0,2.4,5.8,999.9,21.999999999999996,8.61111111111111,0.0
1/25/19,7.944444444444443,19.166666666666668,4.3,5.9,11.7,15.5,24.0,9.611111111111109,0.0
1/26/19,3.2222222222222205,17.0,6.2,6.7,13.6,21.4,21.999999999999996,9.5,0.0
1/27/19,6.944444444444445,16.666666666666668,4.8,2.7,5.8,999.9,21.999999999999996,8.722222222222223,0.0
1/28/19,9.5,17.555555555555557,4.7,2.8,3.9,999.9,23.000000000000004,10.88888888888889,0.0
1/29/19,10.0,19.055555555555557,5.4,3.2,5.8,999.9,25.0,10.61111111111111,0.0
1/30/19,12.833333333333334,20.611111111111107,5.3,4.3,9.7,999.9,26.999999999999996,10.777777777777779,0.0
1/31/19,10.833333333333334,19.388888888888893,5.7,9.3,13.6,23.3,26.0,13.0,0.0
2/1/19,6.666666666666667,15.166666666666666,6.7,5.3,11.7,999.9,17.0,12.611111111111112,0.0
2/2/19,13.166666666666668,19.444444444444443,4.9,2.7,5.8,999.9,21.722222222222218,13.722222222222223,0.0
2/3/19,16.61111111111111,21.555555555555557,4.3,2.2,5.8,999.9,26.11111111111111,16.61111111111111,0.0
2/4/19,16.0,22.555555555555554,4.6,3.6,9.7,999.9,26.999999999999996,16.61111111111111,0.0
2/5/19,17.0,22.277777777777775,4.2,5.3,13.6,999.9,26.999999999999996,19.0,99.99
2/6/19,17.5,24.0,5.4,7.7,13.6,999.9,29.0,19.88888888888889,0.0
2/7/19,18.277777777777782,23.5,5.8,5.4,11.7,999.9,29.0,19.0,0.0
2/8/19,17.61111111111111,23.388888888888886,5.9,7.4,13.6,999.9,28.000000000000004,18.277777777777782,0.0
2/9/19,13.222222222222221,16.333333333333332,4.9,5.5,7.8,15.5,21.999999999999996,12.0,0.04
2/10/19,10.222222222222221,12.444444444444445,5.1,6.4,9.7,999.9,16.72222222222222,9.777777777777779,0.01
2/11/19,7.555555555555555,12.055555555555557,6.7,6.3,9.7,999.9,13.88888888888889,9.611111111111109,0.0
2/12/19,12.833333333333334,19.27777777777778,5.6,2.5,5.8,999.9,24.0,12.0,0.0
2/13/19,15.666666666666666,20.666666666666668,4.3,2.4,5.8,999.9,24.222222222222218,15.61111111111111,0.0
2/14/19,15.88888888888889,21.0,4.1,3.5,5.8,999.9,26.0,15.5,99.99
2/15/19,16.61111111111111,20.500000000000004,3.8,3.7,5.8,999.9,21.999999999999996,18.000000000000004,0.0
2/16/19,14.166666666666666,19.444444444444443,3.9,5.3,9.7,999.9,26.0,14.000000000000002,0.0
2/17/19,10.5,14.555555555555555,5.3,5.3,9.7,999.9,18.77777777777778,13.0,0.01
2/18/19,13.944444444444445,15.444444444444445,5.0,4.5,15.5,999.9,17.0,13.0,1.32
2/19/19,15.333333333333334,19.0,6.1,2.4,5.8,999.9,22.77777777777778,14.777777777777779,0.03
2/20/19,20.0,24.166666666666668,5.7,6.5,13.6,999.9,28.000000000000004,20.0,0.0
2/21/19,13.61111111111111,16.555555555555557,4.8,9.1,23.3,999.9,24.0,10.999999999999998,4.23
2/22/19,8.555555555555555,14.666666666666666,6.6,8.3,13.6,17.5,19.499999999999996,10.999999999999998,0.06
2/23/19,8.499999999999998,10.555555555555555,4.9,7.2,11.7,19.4,12.0,8.88888888888889,0.67
2/24/19,8.333333333333334,13.333333333333334,6.0,5.4,7.8,13.6,16.0,8.777777777777777,0.07
2/25/19,9.222222222222221,12.388888888888888,4.7,4.0,7.8,17.5,14.000000000000002,11.277777777777777,0.03
2/26/19,12.277777777777779,15.277777777777779,4.0,3.2,7.8,999.9,19.222222222222218,11.277777777777777,0.02
2/27/19,16.22222222222222,19.61111111111111,2.1,2.6,5.8,13.6,23.72222222222222,15.5,0.02
2/28/19,12.888888888888891,17.166666666666668,4.5,4.5,9.7,999.9,23.77777777777778,16.0,0.0
3/1/19,16.444444444444443,21.0,3.7,2.9,7.8,999.9,25.0,16.0,0.0
3/2/19,18.444444444444443,21.27777777777778,4.2,4.5,25.3,36.9,25.0,15.0,0.22
3/3/19,13.222222222222221,18.833333333333336,6.6,4.6,9.7,999.9,24.0,14.722222222222221,0.45
3/4/19,15.5,20.11111111111111,4.7,4.2,7.8,999.9,23.000000000000004,14.11111111111111,0.8
3/5/19,18.055555555555557,20.27777777777778,4.1,5.2,13.6,23.3,23.000000000000004,17.61111111111111,0.16
3/6/19,13.88888888888889,16.72222222222222,6.5,7.2,17.5,999.9,19.0,14.000000000000002,0.11
3/7/19,11.500000000000002,13.777777777777777,6.0,5.7,9.7,999.9,15.0,12.888888888888891,0.77
3/8/19,12.0,14.055555555555554,5.0,3.4,5.8,999.9,15.0,12.777777777777779,0.5
3/9/19,12.222222222222221,14.666666666666666,4.6,6.3,9.7,999.9,16.0,13.0,1.73
3/10/19,11.444444444444445,15.38888888888889,5.9,6.2,11.7,999.9,18.000000000000004,12.777777777777779,0.19
3/11/19,11.055555555555555,18.666666666666664,5.7,3.8,7.8,999.9,25.0,12.5,0.14
