Date,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
1/1/19,38.9,48.4,5.9,9.1,13.6,19.4,52.2,43.7,0
1/2/19,42.3,47.7,5.7,7.8,11.7,999.9,51.6,44.6,0
1/3/19,46,56.3,5.8,4.7,9.7,999.9,60.8,47.1,0.01
1/4/19,54.3,58.4,3.1,2.5,7.8,999.9,62.2,53.6,0.02
1/5/19,51,56.7,4.5,7.2,11.7,999.9,61.5,51.8,0
1/6/19,49.4,55.7,5.3,4.4,9.7,999.9,60.6,52.3,0
1/7/19,52.9,59.2,3.6,4.7,9.7,15.5,64.6,55,0
1/8/19,47.4,56.4,6.5,7.6,11.7,999.9,61,52.3,0.05
1/9/19,49.3,58.2,5,5.3,9.7,999.9,66.9,52.2,0.04
1/10/19,53.7,62.1,3.6,3.9,5.8,999.9,70.3,55.2,0
1/11/19,56.3,64.4,2.8,4.6,7.8,17.5,73.4,59,0
1/12/19,54.9,63.5,5.1,3.6,7.8,999.9,69.8,58.3,0
1/13/19,55.6,64.5,4.2,3.8,9.7,999.9,70.5,59.5,0
1/14/19,56,66.2,4.1,4,9.7,999.9,73.4,60.1,0
1/15/19,49.5,60.8,5.4,10,13.6,999.9,68.9,53.6,0
1/16/19,42.4,55.5,6.4,9.2,15.5,999.9,59,51.8,0
1/17/19,41.8,56.7,6.2,6.9,13.6,999.9,66.2,48,0
1/18/19,46.3,59.4,5.4,3.2,5.8,999.9,64.8,47.1,0
1/19/19,54,66.1,3.9,3.2,5.8,999.9,75.2,57.9,0
1/20/19,49,61.9,5.1,10,19.4,21.4,75.9,53.6,0
1/21/19,39.6,56.4,5.3,9.7,15.5,19.4,64.4,47.8,0
1/22/19,34.5,56.1,5.3,6.7,13.6,999.9,66.2,46.2,0
1/23/19,35.2,59,5.6,3.2,7.8,999.9,69.8,43,0
1/24/19,42.6,61.6,5,2.4,5.8,999.9,71.6,47.5,0
1/25/19,46.3,66.5,4.3,5.9,11.7,15.5,75.2,49.3,0
1/26/19,37.8,62.6,6.2,6.7,13.6,21.4,71.6,49.1,0
1/27/19,44.5,62,4.8,2.7,5.8,999.9,71.6,47.7,0
1/28/19,49.1,63.6,4.7,2.8,3.9,999.9,73.4,51.6,0
1/29/19,50,66.3,5.4,3.2,5.8,999.9,77,51.1,0
1/30/19,55.1,69.1,5.3,4.3,9.7,999.9,80.6,51.4,0
1/31/19,51.5,66.9,5.7,9.3,13.6,23.3,78.8,55.4,0
2/1/19,44,59.3,6.7,5.3,11.7,999.9,62.6,54.7,0
2/2/19,55.7,67,4.9,2.7,5.8,999.9,71.1,56.7,0
2/3/19,61.9,70.8,4.3,2.2,5.8,999.9,79,61.9,0
2/4/19,60.8,72.6,4.6,3.6,9.7,999.9,80.6,61.9,0
2/5/19,62.6,72.1,4.2,5.3,13.6,999.9,80.6,66.2,99.99
2/6/19,63.5,75.2,5.4,7.7,13.6,999.9,84.2,67.8,0
2/7/19,64.9,74.3,5.8,5.4,11.7,999.9,84.2,66.2,0
2/8/19,63.7,74.1,5.9,7.4,13.6,999.9,82.4,64.9,0
2/9/19,55.8,61.4,4.9,5.5,7.8,15.5,71.6,53.6,0.04
2/10/19,50.4,54.4,5.1,6.4,9.7,999.9,62.1,49.6,0.01
2/11/19,45.6,53.7,6.7,6.3,9.7,999.9,57,49.3,0
2/12/19,55.1,66.7,5.6,2.5,5.8,999.9,75.2,53.6,0
2/13/19,60.2,69.2,4.3,2.4,5.8,999.9,75.6,60.1,0
2/14/19,60.6,69.8,4.1,3.5,5.8,999.9,78.8,59.9,99.99
2/15/19,61.9,68.9,3.8,3.7,5.8,999.9,71.6,64.4,0
2/16/19,57.5,67,3.9,5.3,9.7,999.9,78.8,57.2,0
2/17/19,50.9,58.2,5.3,5.3,9.7,999.9,65.8,55.4,0.01
2/18/19,57.1,59.8,5,4.5,15.5,999.9,62.6,55.4,1.32
2/19/19,59.6,66.2,6.1,2.4,5.8,999.9,73,58.6,0.03
2/20/19,68,75.5,5.7,6.5,13.6,999.9,82.4,68,0
2/21/19,56.5,61.8,4.8,9.1,23.3,999.9,75.2,51.8,4.23
2/22/19,47.4,58.4,6.6,8.3,13.6,17.5,67.1,51.8,0.06
2/23/19,47.3,51,4.9,7.2,11.7,19.4,53.6,48,0.67
2/24/19,47,56,6,5.4,7.8,13.6,60.8,47.8,0.07
2/25/19,48.6,54.3,4.7,4,7.8,17.5,57.2,52.3,0.03
2/26/19,54.1,59.5,4,3.2,7.8,999.9,66.6,52.3,0.02
2/27/19,61.2,67.3,2.1,2.6,5.8,13.6,74.7,59.9,0.02
2/28/19,55.2,62.9,4.5,4.5,9.7,999.9,74.8,60.8,0
3/1/19,61.6,69.8,3.7,2.9,7.8,999.9,77,60.8,0
3/2/19,65.2,70.3,4.2,4.5,25.3,36.9,77,59,0.22
3/3/19,55.8,65.9,6.6,4.6,9.7,999.9,75.2,58.5,0.45
3/4/19,59.9,68.2,4.7,4.2,7.8,999.9,73.4,57.4,0.8
3/5/19,64.5,68.5,4.1,5.2,13.6,23.3,73.4,63.7,0.16
3/6/19,57,62.1,6.5,7.2,17.5,999.9,66.2,57.2,0.11
3/7/19,52.7,56.8,6,5.7,9.7,999.9,59,55.2,0.77
3/8/19,53.6,57.3,5,3.4,5.8,999.9,59,55,0.5
3/9/19,54,58.4,4.6,6.3,9.7,999.9,60.8,55.4,1.73
3/10/19,52.6,59.7,5.9,6.2,11.7,999.9,64.4,55,0.19
3/11/19,51.9,65.6,5.7,3.8,7.8,999.9,77,54.5,0.14
3/12/19,52.4,69.2,5.1,3,5.8,999.9,79.2,53.6,0
3/13/19,57,70.6,4.2,3.1,5.8,999.9,80.6,56.1,0.18
3/14/19,58.6,65.6,5.1,6.5,11.7,19.4,68,60.8,0.4
3/15/19,52.1,64.4,6,4.9,9.7,999.9,68,57,0.07
3/16/19,53.8,69.2,5.9,3.6,5.8,999.9,75.2,60.1,0
3/17/19,56.2,69.6,5.5,2.9,7.8,999.9,77,62.1,99.99
3/18/19,59.9,67.6,3.5,3.2,5.8,999.9,74.3,64.4,0
3/19/19,65.1,75.1,4.4,4.9,11.7,999.9,82.4,64,0
3/20/19,68.1,75.1,4.9,5.6,13.6,999.9,78.8,71.6,99.99
3/21/19,68.5,78.6,5.9,6.2,11.7,999.9,86,71.6,0
3/22/19,64,72.5,5.8,7.5,11.7,999.9,84.2,62.1,0.47
3/23/19,51.7,57.6,5.8,8.3,11.7,999.9,62.6,53.2,0.09
3/24/19,52.9,57,5.4,4.5,11.7,17.5,59,53.1,0.23
3/25/19,59.3,67.7,6.6,3.1,9.7,999.9,75.2,56.3,0.17
